Format Version,1.23,Take Name,circum_21_10_2023,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.48.30.571 AM,Total Frames in Take,955,Total Exported Frames,955,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
469,3.908333,35.664982,-12.383872,-66.859947,72.116295,147.500244,-73.148567,0.150855,104.771179,226.166962,-199.020233,0.953018,182.451065,187.707138,-178.128723,0.969697,132.731033,205.857162,-198.084839,0.947670,141.133987,230.836670,-177.121216,0.926983,124.199776,175.640045,-216.270035,0.967944,72.022163,147.402451,-73.055283,0.000000,104.913696,226.278641,-199.078735,182.440857,187.749344,-178.246796,132.876373,205.690170,-198.107376,140.942795,230.957825,-176.934509,124.113297,175.531906,-216.257629,,,,,,
470,3.916667,35.656521,-12.565262,-67.212112,73.272644,147.426514,-73.313568,0.124058,106.339462,226.020844,-199.122910,0.961877,183.778305,187.015106,-178.348953,0.979624,134.163025,205.522491,-198.237427,0.949322,142.753036,230.420135,-177.252258,0.928520,125.412048,175.384918,-216.450211,0.954937,73.177940,147.329239,-73.220322,0.000000,106.475197,226.088348,-199.139435,183.789139,187.023590,-178.429291,134.299530,205.513123,-198.386978,142.560654,230.500931,-177.056778,125.321342,175.237640,-216.399506,,,,,,
471,3.925000,35.592407,-12.730733,-67.542282,74.518761,147.424744,-73.373001,0.129060,107.959709,225.829132,-199.201965,0.961877,185.172379,186.336899,-178.505356,0.979624,135.655350,205.157074,-198.345184,0.949322,144.420319,229.997452,-177.364502,0.928520,126.699242,175.077484,-216.554062,0.954937,74.423538,147.328049,-73.279678,0.000000,108.085953,225.890457,-199.223419,185.200089,186.325180,-178.584549,135.788330,205.164413,-198.481873,144.225403,230.098053,-177.168152,126.607162,174.919907,-216.513184,,,,,,
472,3.933333,35.580994,-12.884139,-67.813835,75.830620,147.322159,-73.501976,0.118481,109.623795,225.654922,-199.281418,0.957735,186.635956,185.735168,-178.658096,0.974595,137.209564,204.835205,-198.456467,0.957518,146.117188,229.610748,-177.459183,0.925677,128.084396,174.819168,-216.686295,0.956799,75.734932,147.225906,-73.408676,0.000000,109.770912,225.729065,-199.319443,186.650436,185.736832,-178.758667,137.325043,204.818497,-198.580017,145.916245,229.694794,-177.256851,128.008255,174.676056,-216.626434,,,,,,
473,3.941667,35.466297,-13.067504,-68.130356,77.108879,147.444580,-73.541405,0.140851,111.324135,225.469330,-199.398163,0.957735,188.096466,185.085388,-178.784485,0.974595,138.779861,204.478470,-198.571686,0.957518,147.852951,229.213898,-177.597946,0.925677,129.457947,174.506165,-216.773849,0.956799,77.012642,147.348969,-73.447990,0.000000,111.463020,225.550751,-199.430801,188.110352,185.100876,-178.878326,138.957153,204.451889,-198.717178,147.637360,229.298676,-177.381165,129.343506,174.351089,-216.718567,,,,,,
474,3.950000,35.380287,-13.226503,-68.454803,78.394264,147.507706,-73.563583,0.138806,112.967224,225.295761,-199.469116,0.962937,189.510986,184.448456,-178.918442,0.977127,140.295135,204.137955,-198.663712,0.945038,149.538605,228.821930,-177.703827,0.923666,130.773483,174.219223,-216.850693,0.952460,78.297531,147.412720,-73.470055,0.000000,113.092278,225.372711,-199.489563,189.520538,184.445862,-179.009415,140.464813,204.121841,-198.802612,149.329941,228.920303,-177.503830,130.677841,174.062714,-216.800552,,,,,,
475,3.958333,35.314400,-13.359473,-68.748131,79.735909,147.513962,-73.558983,0.140199,114.604332,225.117706,-199.496735,0.962937,190.946411,183.856552,-179.022827,0.977127,141.818222,203.812424,-198.718903,0.945038,151.215744,228.445450,-177.767578,0.923666,132.116974,173.946167,-216.897217,0.952460,79.638756,147.419479,-73.465363,0.000000,114.735237,225.200699,-199.515884,190.947983,183.860260,-179.118637,141.987549,203.778366,-198.884201,151.006927,228.547943,-177.550262,132.023941,173.791000,-216.834229,,,,,,
476,3.966667,35.158451,-13.481013,-69.075584,81.148132,147.703232,-73.382179,0.139068,116.276970,224.929398,-199.479584,0.956178,192.410172,183.257278,-179.060226,0.974668,143.368744,203.468643,-198.711960,0.941831,152.939056,228.076218,-177.808975,0.918447,133.468643,173.633575,-216.834122,0.948291,81.050575,147.609451,-73.288277,0.000000,116.423767,225.022598,-199.501678,192.423218,183.259247,-179.160690,143.534058,203.461243,-198.875534,152.708557,228.158554,-177.593307,133.373947,173.463623,-216.763901,,,,,,
477,3.975000,35.066673,-13.626865,-69.393005,82.495369,147.740265,-73.298859,0.153531,117.948715,224.720978,-199.455505,0.956178,193.856720,182.608826,-179.100632,0.974668,144.914825,203.101822,-198.708801,0.941831,154.650665,227.659073,-177.823059,0.918447,134.821350,173.319931,-216.811783,0.948291,82.397354,147.647079,-73.204834,0.000000,118.104286,224.816238,-199.470490,193.875809,182.611786,-179.197449,145.094864,203.112198,-198.906235,154.409454,227.747726,-177.584732,134.707962,173.122833,-216.741043,,,,,,
478,3.983333,34.982876,-13.843080,-69.706879,83.662300,147.781937,-73.252289,0.139162,119.621574,224.509323,-199.420074,0.954341,195.252533,181.906174,-179.055634,0.975434,146.446045,202.714828,-198.668900,0.936594,156.341125,227.211426,-177.786774,0.916892,136.159180,172.996475,-216.767441,0.943882,83.563683,147.689423,-73.158257,0.000000,119.782967,224.594055,-199.431564,195.259232,181.911072,-179.153549,146.607788,202.734192,-198.863312,156.109879,227.288712,-177.560806,136.060577,172.810440,-216.689682,,,,,,
479,3.991667,34.906841,-14.054301,-70.000206,84.849754,147.798721,-73.164665,0.132352,121.305000,224.290451,-199.333221,0.954341,196.667465,181.222290,-178.951508,0.975434,147.994049,202.330566,-198.575287,0.936594,158.036774,226.767456,-177.693695,0.916892,137.526749,172.674683,-216.672897,0.943882,84.750549,147.706818,-73.070641,0.000000,121.466621,224.332993,-199.346344,196.695740,181.196930,-179.036972,148.114655,202.435898,-198.799133,157.818512,226.837967,-177.462891,137.434341,172.481613,-216.581207,,,,,,
480,4.000000,34.801022,-14.211820,-70.288834,86.133179,147.785660,-72.969009,0.135403,122.946854,223.995117,-199.204300,0.952304,198.078781,180.519669,-178.836197,0.976486,149.513367,201.887131,-198.447052,0.940458,159.703491,226.280441,-177.585922,0.921351,138.871048,172.279007,-216.520691,0.941921,86.033516,147.694382,-72.874870,0.000000,123.129372,224.048035,-199.221146,198.101303,180.512390,-178.927231,149.608841,201.981796,-198.643646,159.490723,226.339645,-177.361893,138.783188,172.079544,-216.440262,,,,,,
481,4.008333,34.661510,-14.379888,-70.576622,87.379417,147.808319,-72.716171,0.133218,124.578506,223.657013,-199.055664,0.954085,199.470108,179.780518,-178.662567,0.977598,151.019485,201.399628,-198.281494,0.939143,161.355408,225.759628,-177.453232,0.918920,140.202805,171.830795,-216.315948,0.945369,87.279266,147.717712,-72.621887,0.000000,124.750763,223.720398,-199.062210,199.484756,179.779388,-178.750992,151.149628,201.430298,-198.484940,161.136978,225.846649,-177.229889,140.104111,171.650894,-216.240814,,,,,,
482,4.016667,34.618526,-14.632600,-70.764946,88.475082,147.673630,-72.607544,0.158956,126.292320,223.339355,-198.873215,0.954085,200.920822,179.078171,-178.347290,0.977598,152.617432,200.946671,-198.052689,0.939143,163.040131,225.251968,-177.203751,0.918920,141.682190,171.434906,-216.109085,0.945369,88.374298,147.583542,-72.513451,0.000000,126.494843,223.373459,-198.895233,200.960464,179.042313,-178.449677,152.746140,201.041443,-198.268890,162.782959,225.363785,-176.951065,141.568558,171.230148,-216.021133,,,,,,
483,4.025000,34.630066,-15.038175,-70.924034,89.355194,147.517563,-72.644424,0.139600,128.185928,223.059601,-198.676361,0.947249,202.448303,178.315720,-177.870926,0.970810,154.367264,200.502548,-197.763443,0.947577,164.851364,224.723648,-176.847412,0.911409,143.326218,171.075745,-215.893967,0.946874,89.253448,147.428009,-72.550858,0.000000,128.380539,223.132187,-198.713501,202.469635,178.318771,-177.985687,154.506012,200.490799,-197.920227,164.605453,224.826233,-176.613800,143.217468,170.909332,-215.818878,,,,,,
484,4.033333,34.573959,-15.455881,-71.202499,90.155174,147.639999,-72.645012,0.163079,130.009567,222.904953,-198.523071,0.947249,203.841782,177.562454,-177.483917,0.970810,156.006439,200.138916,-197.529846,0.947577,166.614059,224.269409,-176.571381,0.911409,144.790970,170.806564,-215.706284,0.946874,90.052406,147.551239,-72.551804,0.000000,130.221405,222.966492,-198.542374,203.901428,177.516205,-177.590698,156.114151,200.152069,-197.719086,166.339523,224.425934,-176.329407,144.686218,170.621506,-215.632843,,,,,,
485,4.041667,34.791920,-15.932423,-71.619232,90.723892,147.395462,-72.925476,0.206126,131.728043,222.961182,-198.252853,0.930299,205.019882,176.725693,-177.267975,0.955114,157.481873,199.918137,-197.317963,0.939657,168.281311,223.814880,-176.190353,0.923199,146.012024,170.810257,-215.695419,0.913478,90.619926,147.307251,-72.833076,0.000000,131.950912,222.808929,-198.322662,205.194260,176.758148,-177.240204,157.636292,199.848984,-197.490112,168.065338,223.922836,-176.000412,145.676437,170.891327,-215.671280,,,,,,
486,4.050000,34.810890,-16.228958,-71.931732,91.682907,147.146408,-72.730064,0.339915,133.392822,222.642654,-197.866287,0.930299,206.320648,175.837936,-176.875061,0.955114,158.977570,199.411621,-196.941696,0.939657,169.923401,223.190491,-175.756485,0.923199,147.320099,170.421555,-215.387222,0.913478,91.578186,147.058792,-72.637962,0.000000,133.605347,222.679535,-198.029297,206.447327,176.034073,-176.919052,159.186081,198.675537,-196.680099,169.716339,223.384338,-175.689423,146.980164,170.728119,-215.507935,,,,,,
487,4.058333,34.830345,-16.560835,-72.152740,92.463242,146.988312,-72.656784,0.326188,134.982269,222.395920,-197.573959,0.935162,207.555908,175.099487,-176.457703,0.948615,160.416611,199.001648,-196.615250,0.805238,171.456955,222.680481,-175.367096,0.921549,148.624329,170.112396,-215.133102,0.894200,92.357727,146.901230,-72.565079,0.000000,135.180344,222.442078,-197.734909,207.677490,175.252869,-176.520477,160.600082,198.293365,-196.347717,171.245102,222.902527,-175.301605,148.333115,170.399231,-215.242737,,,,,,
488,4.066667,34.909115,-16.876991,-72.347000,93.238136,146.708176,-72.620308,0.321656,136.529327,222.159332,-197.245605,0.935162,208.769867,174.391861,-176.047668,0.948615,161.824524,198.615204,-196.274307,0.805238,172.945435,222.179520,-174.941071,0.921549,149.914063,169.838562,-214.891586,0.894200,93.131866,146.621475,-72.529091,0.000000,136.723587,222.195755,-197.397705,208.878006,174.593628,-176.084991,161.994293,197.887665,-196.028854,172.776154,222.351624,-174.886322,149.611099,170.155930,-215.002609,,,,,,
489,4.075000,34.922493,-17.271410,-72.547279,93.870682,146.565826,-72.556305,0.317837,138.130096,221.881424,-196.923248,0.940656,209.970337,173.605865,-175.516968,0.948309,163.263702,198.167587,-195.887619,0.802585,174.461929,221.630417,-174.483093,0.930374,151.230972,169.494415,-214.585770,0.897198,93.763504,146.479736,-72.465591,0.000000,138.307861,221.955139,-197.062210,210.086227,173.770264,-175.564758,163.425369,197.434753,-195.641876,174.270844,221.827866,-174.437698,150.966736,169.791626,-214.690323,,,,,,
490,4.083333,34.973667,-17.624960,-72.704124,94.533875,146.315201,-72.530769,0.299839,139.663086,221.590042,-196.609467,0.940656,211.151535,172.870941,-175.031036,0.948309,164.657913,197.732147,-195.525330,0.802585,175.912643,221.094498,-174.040695,0.930374,152.529510,169.159668,-214.315567,0.897198,94.425888,146.229568,-72.440590,0.000000,139.847153,221.668839,-196.759476,211.236404,173.047592,-175.102173,164.794250,197.016388,-195.254120,175.739700,221.274719,-173.992203,152.297348,169.439774,-214.414291,,,,,,
491,4.091667,34.728119,-17.936054,-72.963837,95.298904,146.600372,-72.083267,0.254408,141.173035,221.212677,-196.288910,0.924153,212.293198,172.082764,-174.426666,0.945259,166.006531,197.192535,-195.085739,0.834770,177.373764,220.542007,-173.646362,0.926583,153.725677,168.646729,-213.817368,0.962204,95.190170,146.515717,-71.993050,0.000000,141.348938,221.427170,-196.411774,212.296799,172.235901,-174.583115,166.143539,196.585266,-194.863800,177.180710,220.725159,-173.522156,153.602188,168.703079,-213.883926,,,,,,
492,4.100000,34.799274,-18.324411,-73.212898,95.823242,146.420990,-72.034943,0.251369,142.637405,221.018707,-195.898117,0.924153,213.328461,171.317261,-173.936279,0.945259,167.291977,196.815811,-194.678009,0.834770,178.759171,220.026672,-173.141571,0.926583,154.864792,168.408417,-213.523224,0.962204,95.713608,146.336899,-71.945297,0.000000,142.826141,221.225784,-196.001419,213.349915,171.465881,-174.074066,167.409332,196.228455,-194.496506,178.561340,220.204803,-173.018829,154.735138,168.461990,-213.586441,,,,,,
493,4.108333,34.899406,-18.671461,-73.438591,96.401588,146.155991,-71.970375,0.256434,144.053650,220.816162,-195.475876,0.922656,214.356247,170.588715,-173.463867,0.944934,168.546280,196.449249,-194.258881,0.837914,180.103256,219.520248,-172.620422,0.925374,155.987732,168.180069,-213.224472,0.960655,96.291145,146.072357,-71.881294,0.000000,144.239456,221.032288,-195.596191,214.371902,170.748672,-173.614471,168.675919,195.844086,-194.065704,179.907364,219.697388,-172.481247,155.852478,168.232040,-213.285858,,,,,,
494,4.116667,34.976608,-19.025515,-73.627647,96.902359,145.959854,-71.886177,0.258490,145.414001,220.624451,-195.053940,0.922656,215.336472,169.916138,-172.933914,0.944934,169.753525,196.105652,-193.815887,0.837914,181.379761,219.053619,-172.083878,0.925374,157.085281,167.959290,-212.890900,0.960655,96.791115,145.876678,-71.797661,0.000000,145.598907,220.815247,-195.164719,215.353775,170.059677,-173.077682,169.879227,195.518524,-193.632629,181.192535,219.261276,-171.939560,156.944595,168.004364,-212.963928,,,,,,
495,4.125000,35.084370,-19.384798,-73.792587,97.378448,145.674973,-71.804878,0.254749,146.764755,220.402145,-194.586426,0.935026,216.311234,169.224899,-172.361252,0.953767,170.956589,195.738480,-193.331207,0.846719,182.638275,218.556961,-171.492844,0.921306,158.193161,167.720322,-212.531082,0.957308,97.266411,145.592194,-71.717003,0.000000,146.942963,220.568283,-194.676926,216.323318,169.353165,-172.493927,171.095581,195.170334,-193.147339,182.449768,218.778397,-171.372360,158.052368,167.772614,-212.612350,,,,,,
496,4.133333,35.130192,-19.968752,-74.089378,97.432617,145.677475,-71.844246,0.288022,148.232254,220.222900,-194.158798,0.911457,217.147232,168.306747,-171.681702,0.938871,172.172775,195.318863,-192.833450,0.823853,183.957245,217.966019,-170.872360,0.895777,159.240814,167.476288,-212.175461,0.973403,97.319283,145.595581,-71.757195,0.000000,148.482986,220.426346,-194.304321,217.160538,168.403214,-171.905991,172.248199,194.669632,-192.570282,183.694519,218.254135,-170.724854,159.164047,167.537537,-212.216354,,,,,,
497,4.141667,35.242638,-20.399778,-74.250633,97.753464,145.441620,-71.804825,0.257593,149.602051,220.011917,-193.663208,0.911457,218.073853,167.583496,-171.021393,0.938871,173.374100,194.949005,-192.300797,0.823853,185.203323,217.454895,-170.218842,0.895777,160.351608,167.247650,-211.784302,0.973403,97.639206,145.360214,-71.718536,0.000000,149.822205,220.194733,-193.813736,218.105606,167.657608,-171.228455,173.461182,194.354630,-192.054398,184.947845,217.721939,-170.078613,160.268127,167.318008,-211.813370,,,,,,
498,4.150000,35.364113,-20.833332,-74.412170,98.062881,145.208084,-71.761932,0.259040,150.963867,219.815170,-193.144577,0.919176,218.986191,166.870575,-170.349396,0.942344,174.565430,194.593353,-191.750275,0.845433,186.438080,216.952972,-169.543381,0.898633,161.453552,167.038177,-211.380585,0.972976,97.947685,145.127167,-71.676437,0.000000,151.196594,219.976837,-193.300201,219.008942,166.945053,-170.566467,174.653152,194.023819,-191.526245,186.180023,217.221039,-169.382278,161.368347,167.103531,-211.392975,,,,,,
499,4.158333,35.451031,-21.375141,-74.625015,98.172256,145.291306,-71.825256,0.157217,152.382706,219.799423,-192.689819,0.919176,219.832153,166.227005,-169.660599,0.942344,175.765869,194.378479,-191.233917,0.845433,187.696548,216.575699,-168.895584,0.898633,162.538208,166.988907,-211.017700,0.972976,98.055908,145.211090,-71.740646,0.000000,152.619629,219.795303,-192.772858,219.898956,166.165237,-169.802505,,,,187.458893,216.741653,-168.721375,162.472061,166.888870,-210.966904,,,,,,
500,4.166667,35.524021,-21.904661,-74.808159,98.299347,145.241257,-71.824135,0.142648,153.788879,219.618225,-192.187958,0.934911,220.684738,165.466095,-168.901230,0.958366,176.964783,194.012421,-190.659607,0.000000,188.937790,216.061630,-168.197693,0.918218,163.639664,166.774887,-210.587372,0.965688,98.181885,145.161758,-71.740402,0.000000,154.027512,219.621002,-192.292053,220.753784,165.427643,-169.047821,,,,188.706467,216.193787,-168.007843,163.563232,166.678482,-210.526505,,,,,,
501,4.175000,35.632488,-22.441868,-75.031693,98.396065,145.160233,-71.811317,0.157030,155.172913,219.470169,-191.614853,0.934911,221.482422,164.680328,-168.143570,0.958366,178.124512,193.665558,-190.045639,0.000000,190.157349,215.538208,-167.443497,0.918218,164.682053,166.607727,-210.138672,0.965688,98.277489,145.081436,-71.728508,0.000000,155.418793,219.452148,-191.711075,221.541428,164.637985,-168.292709,,,,189.924026,215.683441,-167.261948,164.610535,166.522964,-210.074936,,,,,,
502,4.183333,35.750446,-22.932669,-75.268234,98.580109,145.122437,-71.766701,0.144889,156.524094,219.404694,-191.027390,0.933997,222.276367,163.994675,-167.444611,0.957885,179.258652,193.409500,-189.444565,0.000000,191.360413,215.101730,-166.705765,0.917888,165.693527,166.534576,-209.699997,0.966433,98.460503,145.044312,-71.684738,0.000000,156.764664,219.396194,-191.135818,222.347137,163.955887,-167.592484,,,,191.129196,215.235107,-166.514389,165.613495,166.448517,-209.635071,,,,,,
503,4.191667,35.943115,-23.299864,-75.490906,98.920311,144.920670,-71.581398,0.175752,157.727997,219.396378,-190.297424,0.933997,223.036911,163.435425,-166.783630,0.957885,180.284348,193.242981,-188.771820,0.000000,192.458984,214.742981,-165.889801,0.917888,166.604218,166.558105,-209.200439,0.966433,98.799927,144.842941,-71.500191,0.000000,157.805313,219.499878,-190.328186,223.126053,163.307327,-166.865921,,,,192.296371,214.902374,-165.790466,166.600372,166.423462,-209.186874,,,,,,
504,4.200000,36.129559,-23.747002,-75.676979,99.154984,144.790649,-71.553772,0.168532,159.024216,219.389862,-189.660126,0.957458,223.832153,162.866470,-166.105621,0.958988,181.389984,193.072342,-188.151505,0.000000,193.609772,214.382507,-165.116470,0.936689,167.617325,166.576904,-208.763687,0.959984,99.033699,144.713409,-71.473465,0.000000,159.132858,219.514664,-189.699829,223.914932,162.767456,-166.206894,,,,193.429245,214.514938,-164.998123,167.606445,166.418823,-208.741104,,,,,,
505,4.208333,36.306660,-24.189316,-75.828613,99.392250,144.709747,-71.541031,0.160119,160.312973,219.406433,-189.046539,0.957458,224.637939,162.364273,-165.418716,0.958988,182.499680,192.937561,-187.540955,0.000000,194.746765,214.071793,-164.358795,0.936689,168.654358,166.618301,-208.329437,0.959984,99.270073,144.632950,-71.461632,0.000000,160.429596,219.530090,-189.117828,224.734680,162.272476,-165.529327,,,,194.561340,214.191238,-164.211456,168.626450,166.467010,-208.294800,,,,,,
506,4.216667,36.564022,-24.513550,-75.935791,99.818718,144.375198,-71.433342,0.150933,161.508652,219.398621,-188.327774,0.962527,225.479141,161.928757,-164.774200,0.962582,183.564606,192.817322,-186.883484,0.000000,195.828918,213.771133,-163.547180,0.940210,169.669098,166.673599,-207.859131,0.964621,99.695908,144.298569,-71.354774,0.000000,161.616638,219.496078,-188.363953,225.551910,161.838455,-164.868820,,,,195.665024,213.903473,-163.433945,169.652405,166.534164,-207.841583,,,,,,
507,4.225000,36.719509,-24.896402,-76.090012,100.175224,144.333298,-71.312492,0.190143,162.766907,219.434692,-187.676285,0.962527,226.302094,161.495026,-164.095459,0.962582,184.658676,192.717133,-186.248535,0.000000,196.955856,213.508041,-162.784195,0.940210,170.690231,166.737122,-207.378601,0.964621,100.051651,144.257095,-71.234703,0.000000,162.883469,219.536697,-187.714951,226.412125,161.371521,-164.183304,,,,196.762894,213.668671,-162.668625,170.656631,166.598053,-207.367523,,,,,,
508,4.233333,36.959255,-25.179663,-76.164009,100.683830,144.015350,-71.150391,0.168457,163.946899,219.420456,-186.953339,0.967459,227.178757,161.122162,-163.441132,0.954833,185.729706,192.611099,-185.581116,0.000000,198.031097,213.242706,-161.978760,0.934823,171.729309,166.785995,-206.879272,0.970192,100.559708,143.939270,-71.073372,0.000000,164.040451,219.495972,-187.003235,227.277786,160.997086,-163.525925,,,,197.868179,213.406906,-161.858505,171.699631,166.671432,-206.864899,,,,,,
509,4.241667,37.146652,-25.520731,-76.344963,101.226524,143.826645,-70.949928,0.071319,165.282486,219.392502,-186.210953,0.967459,228.099869,160.616089,-162.778351,0.954833,186.903610,192.449661,-184.897247,0.000000,199.253708,212.899567,-161.162552,0.934823,172.817078,166.805756,-206.356888,0.970192,101.101723,143.750946,-70.873627,0.000000,165.308594,219.516647,-186.276749,228.163940,160.633270,-162.811829,,,,199.201157,212.844299,-161.075745,172.779526,166.719757,-206.344467,,,,,,
510,4.250000,37.381718,-25.817934,-76.370094,101.739990,143.530563,-70.785461,0.076337,166.504639,219.367401,-185.471054,0.970213,229.027267,160.273849,-162.047714,0.983372,188.027496,192.344437,-184.189255,0.000000,200.355438,212.649521,-160.319122,0.973857,173.936356,166.841690,-205.813492,0.978023,101.614632,143.454971,-70.709976,0.000000,166.525452,219.465393,-185.535538,229.084152,160.276871,-162.082001,,,,200.315033,212.627975,-160.225113,173.899048,166.762222,-205.808762,,,,,,
511,4.258333,37.591690,-26.170586,-76.331604,102.134346,143.381210,-70.687401,0.146455,167.747711,219.390610,-184.774750,0.967831,229.953491,160.014175,-161.223557,0.961124,189.175369,192.293152,-183.471390,0.000000,201.443741,212.477386,-159.468445,0.938989,175.115082,166.909531,-205.255295,0.971401,102.008347,143.305771,-70.612823,0.000000,167.852020,219.450546,-184.820480,230.036087,159.913696,-161.308777,,,,201.291550,212.626343,-159.349228,175.080444,166.801147,-205.243622,,,,,,
512,4.266667,37.767307,-26.543913,-76.396339,102.610184,143.272125,-70.521896,0.174017,169.103836,219.371429,-184.038223,0.967831,230.917603,159.614227,-160.418091,0.961124,190.395676,192.167130,-182.734772,0.000000,202.651062,212.206863,-158.604446,0.938989,176.313522,166.928802,-204.672821,0.971401,102.483490,143.197037,-70.448166,0.000000,169.200195,219.472900,-184.089798,231.025299,159.497772,-160.502472,,,,202.483612,212.350174,-158.480209,176.277008,166.800552,-204.661194,,,,,,
513,4.275000,37.913033,-26.913103,-76.473457,103.136124,143.229202,-70.308487,0.165661,170.495667,219.357010,-183.293976,0.968331,231.912643,159.223251,-159.594482,0.961375,191.648209,192.044556,-181.983994,0.000000,203.896255,211.948074,-157.737457,0.938505,177.538452,166.944626,-204.062607,0.967699,103.008743,143.154480,-70.235542,0.000000,170.599808,219.428146,-183.305954,231.987946,159.113556,-159.673004,,,,203.741058,212.113495,-157.642288,177.514206,166.817795,-204.067245,,,,,,
514,4.283333,38.100712,-27.352327,-76.526016,103.524460,143.164688,-70.219604,0.167483,171.916321,219.344604,-182.547897,0.968331,232.878098,158.794876,-158.732468,0.961375,192.914764,191.914246,-181.222336,0.000000,205.134476,211.662308,-156.834808,0.938505,178.793518,166.971893,-203.471542,0.967699,103.396278,143.090393,-70.147652,0.000000,172.030624,219.441559,-182.610443,232.982132,158.693481,-158.827744,,,,204.964600,211.802536,-156.688583,178.744965,166.836060,-203.459747,,,,,,
515,4.291667,38.240944,-27.740477,-76.813232,104.014038,143.266251,-69.859024,0.239643,173.280075,219.451523,-181.646744,0.961412,233.713303,158.322403,-157.964691,0.932303,194.063873,191.854568,-180.398407,0.000000,206.371399,211.391922,-155.885635,0.942379,179.809448,167.127594,-202.802567,0.938951,103.885109,143.192612,-69.787750,0.000000,173.414566,219.438446,-181.721298,233.959534,158.223251,-157.911331,,,,206.214294,211.511581,-155.766769,179.585724,167.120193,-202.900162,,,,,,
516,4.300000,38.387833,-28.169901,-76.861290,104.428680,143.269806,-69.695465,0.211284,174.697311,219.419998,-180.879745,0.961412,234.681152,157.905884,-157.052612,0.932303,195.329681,191.711044,-179.600891,0.000000,207.605774,211.111481,-154.963943,0.942379,181.068237,167.125076,-202.155258,0.938951,104.298981,143.196625,-69.625107,0.000000,174.831665,219.393997,-180.999939,234.913803,157.838501,-157.018356,,,,207.468552,211.198013,-154.802673,180.838257,167.131973,-202.230530,,,,,,
517,4.308333,38.562550,-28.566618,-76.929565,104.929161,143.200867,-69.474464,0.226162,176.117157,219.389191,-180.046082,0.955376,235.670715,157.482269,-156.157074,0.940710,196.601028,191.570175,-178.769592,0.000000,208.858444,210.818375,-154.004272,0.943634,182.321793,167.139236,-201.480621,0.940525,104.798759,143.128113,-69.404991,0.000000,176.268311,219.329926,-180.120239,235.888824,157.401276,-156.111084,,,,208.708862,210.939453,-153.886795,182.102020,167.158386,-201.569702,,,,,,
518,4.316667,38.785774,-29.004358,-76.968712,105.307907,143.080948,-69.331451,0.233275,177.511612,219.359100,-179.180145,0.955376,236.605881,157.040115,-155.221939,0.940710,197.842270,191.427734,-177.907349,0.000000,210.061264,210.506821,-152.992661,0.943634,183.562912,167.167984,-200.801071,0.940525,105.176735,143.008575,-69.263016,0.000000,177.663803,219.272034,-179.250610,236.815567,156.962570,-155.169403,,,,209.929398,210.645950,-152.866959,183.332916,167.193390,-200.908783,,,,,,
519,4.325000,38.966961,-29.421873,-77.003059,105.718094,143.091705,-69.187599,0.212619,178.887146,219.386185,-178.384247,0.959151,237.541718,156.691010,-154.327316,0.943569,199.071564,191.349487,-177.099884,0.000000,211.251724,210.281525,-152.054291,0.944360,184.794495,167.240250,-200.153442,0.941138,105.586197,143.019760,-69.120117,0.000000,179.020752,219.345947,-178.469284,237.750381,156.614822,-154.287216,,,,211.124420,210.397537,-151.913345,184.579544,167.240768,-200.249481,,,,,,
520,4.333333,39.202431,-29.781002,-77.048767,106.223305,142.955841,-68.975159,0.216806,180.217331,219.410248,-177.502029,0.959151,238.483109,156.344269,-153.469437,0.943569,200.270035,191.277496,-176.255081,0.000000,212.423630,210.041794,-151.070709,0.944360,185.987579,167.336578,-199.480057,0.941138,106.090790,142.884186,-68.908585,0.000000,180.371323,219.359848,-177.568954,238.687912,156.273270,-153.426636,,,,212.284225,210.164719,-150.941101,185.768173,167.334976,-199.585526,,,,,,
521,4.341667,39.341896,-30.244003,-77.115829,106.524384,143.135727,-68.838715,0.239925,181.576630,219.477158,-176.716492,0.953363,239.333786,155.996170,-152.549271,0.935718,201.455917,191.222824,-175.442581,0.000000,213.578033,209.839264,-150.133667,0.940144,187.163467,167.436554,-198.819824,0.938210,106.391083,143.064651,-68.773109,0.000000,181.725494,219.412704,-176.808578,239.566010,155.897415,-152.499985,,,,213.424637,209.967300,-150.001755,186.935669,167.471771,-198.908997,,,,,,
