Format Version,1.23,Take Name,circum_21_10_2023,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.48.30.571 AM,Total Frames in Take,955,Total Exported Frames,955,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,126.519394,23.154434,30.250820,75.261414,199.330933,108.091537,0.188493,24.248791,313.608185,194.328934,0.954349,40.626888,248.966415,253.514862,0.975455,37.871971,293.875427,219.231598,0.918649,7.448852,280.124084,214.827805,0.913422,72.634697,303.767273,222.435059,0.957990,75.350456,199.266129,107.969063,0.000000,24.301010,313.477051,194.444733,40.674065,248.912094,253.581696,37.934574,294.068481,219.486008,7.239642,280.110626,214.552185,72.681778,303.773193,222.273880,,,,,,
17,0.141667,126.518616,23.129025,30.393141,75.237778,199.339264,108.093399,0.190984,24.285660,313.620972,194.360672,0.954349,40.459774,248.894333,253.509933,0.975455,37.835808,293.840912,219.265671,0.918649,7.396110,280.146057,214.800842,0.913422,72.610367,303.669983,222.533279,0.957990,75.326904,199.274429,107.971001,0.000000,24.338924,313.488617,194.474228,40.510227,248.834763,253.579849,37.898876,294.035919,219.519180,7.184248,280.136902,214.524124,72.655457,303.676147,222.373001,,,,,,
18,0.150000,126.511742,23.107235,30.543827,75.198250,199.357086,108.077171,0.195157,24.297350,313.648895,194.361267,0.953058,40.256882,248.840240,253.479034,0.973109,37.770157,293.822540,219.271408,0.917321,7.314339,280.184937,214.741791,0.913587,72.556129,303.587921,222.607697,0.957252,75.287468,199.292206,107.954857,0.000000,24.352392,313.512329,194.477768,40.303104,248.774994,253.550980,37.834362,294.023438,219.526138,7.107891,280.177124,214.464676,72.596977,303.596802,222.441895,,,,,,
19,0.158333,126.468369,23.096712,30.708862,75.162094,199.333969,108.092789,0.193643,24.283882,313.681305,194.316711,0.953058,40.012226,248.823257,253.442291,0.973109,37.672138,293.822479,219.246597,0.917321,7.202089,280.239075,214.650360,0.913587,72.468071,303.526642,222.656815,0.957252,75.251442,199.268982,107.970634,0.000000,24.333368,313.545624,194.436630,40.052864,248.762451,253.512558,37.741360,294.019043,219.502274,7.000156,280.229340,214.371704,72.510658,303.536377,222.489563,,,,,,
20,0.166667,126.417053,23.107300,30.882875,75.143219,199.330658,108.091728,0.192041,24.234667,313.729370,194.229507,0.952358,39.725609,248.830292,253.372696,0.973842,37.534103,293.843018,219.184967,0.921354,7.054500,280.307037,214.512863,0.912137,72.336525,303.493591,222.680084,0.959519,75.232758,199.265564,107.969765,0.000000,24.274792,313.593018,194.356430,39.777679,248.777924,253.446854,37.596874,294.031769,219.428696,6.854563,280.308716,214.223846,72.381363,303.492004,222.524506,,,,,,
21,0.175000,126.334419,23.122391,31.067997,75.101753,199.314026,108.084869,0.181187,24.151281,313.806641,194.072983,0.952358,39.390789,248.894012,253.266571,0.973842,37.356224,293.904114,219.065674,0.921354,6.867670,280.414551,214.318222,0.912137,72.164543,303.501312,222.647812,0.959519,75.191513,199.248795,107.963150,0.000000,24.182751,313.678802,194.208282,39.425961,248.861099,253.330414,37.417797,294.084229,219.312119,6.681179,280.396667,214.032166,72.222816,303.499908,222.488266,,,,,,
22,0.183333,126.258072,23.160511,31.225452,75.062157,199.389130,108.032463,0.182064,24.012781,313.952393,193.867706,0.957780,39.046062,249.040192,253.114487,0.974152,37.137836,294.043549,218.897400,0.923160,6.647974,280.582001,214.079254,0.915927,71.946548,303.608246,222.561752,0.956603,75.152145,199.323776,107.910980,0.000000,24.060585,313.849060,193.992416,39.080975,248.986679,253.195786,37.198982,294.230774,219.133347,6.457479,280.548523,213.804169,71.993217,303.611542,222.394608,,,,,,
23,0.191667,126.127396,23.214392,31.387028,75.060097,199.392731,108.022888,0.184464,23.872305,314.095795,193.588638,0.957780,38.698509,249.241440,252.950943,0.974152,36.915668,294.206146,218.676270,0.923160,6.428249,280.762451,213.793167,0.915927,71.721939,303.748322,222.421585,0.956603,75.150352,199.327164,107.901726,0.000000,23.911268,313.972992,193.719955,38.730347,249.204636,253.015427,36.989353,294.382111,218.937363,6.229184,280.738281,213.505325,71.776566,303.756042,222.252441,,,,,,
24,0.200000,125.940849,23.238634,31.542101,74.970848,199.295258,108.067780,0.190844,23.718796,314.242584,193.266464,0.950932,38.337990,249.501846,252.803864,0.976765,36.683090,294.393341,218.426971,0.916014,6.191708,280.973145,213.504379,0.912948,71.491524,303.904785,222.230103,0.959519,75.061310,199.229309,107.946960,0.000000,23.771368,314.095673,193.385559,38.393387,249.454346,252.861374,36.722279,294.612030,218.678925,5.983400,280.958527,213.225677,71.552635,303.895081,222.080444,,,,,,
25,0.208333,125.817261,23.336037,31.587669,74.960068,199.363525,108.016434,0.185109,23.463766,314.418762,192.921631,0.950932,38.049694,249.801712,252.601379,0.976765,36.406876,294.628235,218.139252,0.916014,5.936086,281.170013,213.192993,0.912948,71.200188,304.179718,221.980087,0.959519,75.050781,199.297455,107.895874,0.000000,23.511911,314.291412,193.035904,38.087822,249.748459,252.665253,36.472729,294.819855,218.390503,5.735859,281.151337,212.923401,71.248260,304.187408,221.820160,,,,,,
