Format Version,1.23,Take Name,danielle_circum_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.16.643 PM,Total Frames in Take,480,Total Exported Frames,480,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
17,0.283333,-0.252304,0.003959,-0.864422,-0.434859,0.006877,0.188764,0.187700,0.000273,-0.044938,0.253668,0.310747,0.912980,-0.051328,0.300057,0.279366,0.952156,0.006873,0.188765,0.187700,0.000000,-0.077562,0.239283,0.303942,0.937948,-0.013568,0.266724,0.312043,0.897894,-0.027216,0.229785,0.328257,0.954843,,,,,,,,,,-0.044866,0.253289,0.310722,-0.051218,0.300102,0.279221,,,,-0.077784,0.239358,0.304086,-0.013527,0.267235,0.312146,-0.027217,0.229535,0.328180
18,0.300000,-0.252852,0.001028,-0.861938,-0.439464,0.004833,0.188120,0.187589,0.000383,-0.045827,0.254314,0.310430,0.815556,-0.051968,0.300540,0.278759,0.906300,0.004829,0.188120,0.187590,0.000000,-0.078606,0.240165,0.303880,0.790945,-0.014340,0.267106,0.311486,0.831892,-0.028228,0.230399,0.328020,0.889601,,,,,,,,,,-0.045719,0.253594,0.310307,-0.052134,0.300245,0.278597,,,,-0.078639,0.241000,0.303913,-0.014445,0.267690,0.311803,-0.028033,0.230008,0.327953
19,0.316667,-0.249809,0.000538,-0.863484,-0.438167,0.004737,0.188187,0.187606,0.000371,-0.046864,0.254536,0.309970,0.815556,-0.053004,0.300647,0.278133,0.906300,0.004734,0.188187,0.187607,0.000000,-0.079551,0.240243,0.303278,0.790945,-0.015432,0.267453,0.311166,0.831892,-0.029272,0.230740,0.327727,0.889601,,,,,,,,,,-0.046751,0.253821,0.309861,-0.053158,0.300367,0.277974,,,,-0.079593,0.241030,0.303308,-0.015537,0.268030,0.311472,-0.029083,0.230371,0.327660
20,0.333333,-0.245441,0.000755,-0.865727,-0.436205,0.004988,0.188410,0.187795,0.000552,-0.048042,0.254787,0.309532,0.784695,-0.054141,0.300787,0.277526,0.881472,0.004984,0.188410,0.187796,0.000000,-0.080594,0.240306,0.302586,0.811800,-0.016690,0.267871,0.310973,0.635954,-0.030484,0.231127,0.327503,0.867574,,,,,,,,,,-0.047990,0.253945,0.309357,-0.054325,0.300409,0.277308,,,,-0.080705,0.241049,0.302628,-0.016530,0.269152,0.311647,-0.030358,0.230635,0.327353
21,0.350000,-0.242201,0.000619,-0.867426,-0.434639,0.004735,0.188454,0.187814,0.000537,-0.049346,0.254882,0.309060,0.784695,-0.055438,0.300783,0.276910,0.881472,0.004731,0.188455,0.187815,0.000000,-0.081792,0.240247,0.301942,0.811800,-0.018060,0.268103,0.310669,0.635954,-0.031802,0.231338,0.327196,0.867574,,,,,,,,,,-0.049289,0.254090,0.308896,-0.055625,0.300409,0.276683,,,,-0.081923,0.240988,0.301981,-0.017893,0.269327,0.311314,-0.031667,0.230825,0.327055
22,0.366667,-0.238528,0.001083,-0.869302,-0.432917,0.004481,0.188461,0.187813,0.000534,-0.050822,0.254838,0.308534,0.795742,-0.056867,0.300661,0.276267,0.882771,0.004477,0.188462,0.187813,0.000000,-0.083147,0.240049,0.301190,0.811695,-0.019607,0.268199,0.310363,0.664305,-0.033314,0.231399,0.326842,0.867364,,,,,,,,,,-0.050758,0.254042,0.308363,-0.057056,0.300290,0.276052,,,,-0.083294,0.240787,0.301227,-0.019417,0.269381,0.310971,-0.033190,0.230899,0.326715
23,0.383333,-0.234860,0.001652,-0.871556,-0.430382,0.004256,0.188471,0.187847,0.000511,-0.052408,0.254626,0.308058,0.795742,-0.058474,0.300381,0.275697,0.882771,0.004252,0.188472,0.187847,0.000000,-0.084583,0.239633,0.300472,0.811695,-0.021290,0.268178,0.310121,0.664305,-0.034904,0.231311,0.326528,0.867364,,,,,,,,,,-0.052352,0.253828,0.307884,-0.058662,0.300019,0.275476,,,,-0.084736,0.240387,0.300519,-0.021111,0.269247,0.310700,-0.034767,0.230826,0.326396
24,0.400000,-0.231146,0.003308,-0.873876,-0.427670,0.003935,0.188572,0.187860,0.000377,-0.054199,0.254271,0.307618,0.816791,-0.060246,0.300021,0.275246,0.904914,0.003931,0.188572,0.187860,0.000000,-0.086215,0.239096,0.299729,0.799679,-0.023182,0.268006,0.309974,0.807032,-0.036724,0.231043,0.326223,0.874141,,,,,,,,,,-0.054074,0.253562,0.307480,-0.060351,0.299711,0.275053,,,,-0.086309,0.239888,0.299807,-0.023324,0.268678,0.310326,-0.036509,0.230599,0.326122
25,0.416667,-0.224793,0.007243,-0.878786,-0.420892,0.005171,0.189104,0.188106,0.000293,-0.055889,0.253416,0.307158,0.816791,-0.062043,0.299226,0.274893,0.904914,0.005167,0.189105,0.188106,0.000000,-0.087550,0.237825,0.298665,0.799679,-0.025115,0.267576,0.310096,0.807032,-0.038400,0.230350,0.325952,0.874141,,,,,,,,,,-0.055815,0.253037,0.307126,-0.061912,0.299293,0.274769,,,,-0.087797,0.237861,0.298795,-0.025078,0.268102,0.310168,-0.038396,0.230100,0.325907
26,0.433333,-0.220403,0.011224,-0.880481,-0.419582,0.004981,0.189117,0.188207,0.000310,-0.057608,0.252854,0.306774,0.904453,-0.063466,0.298777,0.274615,0.947651,0.004977,0.189118,0.188207,0.000000,-0.089136,0.237238,0.297846,0.929012,-0.026897,0.267060,0.310131,0.868418,-0.040299,0.229748,0.325685,0.941734,,,,,,,,,,-0.057553,0.252476,0.306757,-0.063320,0.298872,0.274498,,,,-0.089391,0.237230,0.297970,-0.026836,0.267580,0.310183,-0.040304,0.229519,0.325643
