Format Version,1.23,Take Name,danielle_nziz_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.03.460 PM,Total Frames in Take,395,Total Exported Frames,395,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,0.300657,0.011190,0.799725,0.519539,0.008540,0.153730,0.189221,0.000227,-0.013210,0.229148,0.315225,0.900235,-0.014673,0.275464,0.283128,0.939222,0.008537,0.153731,0.189222,0.000000,-0.048593,0.221310,0.313169,0.921628,0.019972,0.235853,0.312030,0.894223,0.001758,0.202507,0.331264,0.907296,,,,,,,-0.013311,0.228777,0.315119,-0.014679,0.275550,0.282900,,,,-0.048542,0.221581,0.313318,0.019959,0.236232,0.312217,0.001826,0.202142,0.331260
17,0.283333,0.298377,0.011213,0.800114,0.520253,0.008557,0.153821,0.189197,0.000236,-0.013630,0.229610,0.314901,0.900235,-0.014937,0.275836,0.282668,0.939222,0.008553,0.153822,0.189197,0.000000,-0.049010,0.221789,0.312731,0.921628,0.019569,0.236283,0.311816,0.894223,0.001257,0.203003,0.331074,0.907296,,,,,,,-0.013729,0.229229,0.314794,-0.014944,0.275941,0.282436,,,,-0.048964,0.222055,0.312878,0.019561,0.236657,0.311995,0.001326,0.202637,0.331087
18,0.300000,0.295106,0.010747,0.800280,0.521870,0.008562,0.153807,0.189278,0.000233,-0.014161,0.230109,0.314576,0.898555,-0.015158,0.276221,0.282169,0.936116,0.008558,0.153809,0.189279,0.000000,-0.049547,0.222373,0.312227,0.923276,0.019073,0.236684,0.311662,0.894992,0.000562,0.203523,0.330931,0.907212,,,,,,,-0.014266,0.229732,0.314469,-0.015154,0.276320,0.281934,,,,-0.049519,0.222639,0.312378,0.019061,0.237059,0.311852,0.000647,0.203162,0.330933
19,0.316667,0.291734,0.009413,0.800039,0.524156,0.008529,0.153835,0.189254,0.000218,-0.014677,0.230586,0.314188,0.898555,-0.015244,0.276613,0.281650,0.936116,0.008525,0.153836,0.189254,0.000000,-0.050083,0.223007,0.311623,0.923276,0.018605,0.237000,0.311479,0.894992,-0.000188,0.203977,0.330714,0.907212,,,,,,,-0.014781,0.230209,0.314083,-0.015232,0.276699,0.281427,,,,-0.050040,0.223264,0.311776,0.018590,0.237373,0.311659,-0.000122,0.203637,0.330709
20,0.333333,0.287925,0.007703,0.799714,0.526780,0.008574,0.153864,0.189252,0.000230,-0.015178,0.231092,0.313790,0.900908,-0.015241,0.277030,0.281120,0.936054,0.008570,0.153866,0.189253,0.000000,-0.050604,0.223699,0.310971,0.924481,0.018159,0.237317,0.311320,0.900227,-0.000963,0.204451,0.330501,0.909740,,,,,,,-0.015279,0.230721,0.313693,-0.015244,0.277133,0.280886,,,,-0.050567,0.223965,0.311109,0.018146,0.237671,0.311504,-0.000884,0.204099,0.330510
21,0.350000,0.284388,0.005634,0.799028,0.529761,0.008485,0.153923,0.189224,0.000239,-0.015685,0.231577,0.313416,0.900908,-0.015199,0.277443,0.280649,0.936054,0.008481,0.153925,0.189224,0.000000,-0.051137,0.224412,0.310347,0.924481,0.017710,0.237575,0.311183,0.900227,-0.001773,0.204879,0.330289,0.909740,,,,,,,-0.015795,0.231214,0.313326,-0.015190,0.277548,0.280400,,,,-0.051094,0.224675,0.310495,0.017687,0.237941,0.311374,-0.001692,0.204507,0.330289
22,0.366667,0.278884,0.002542,0.800800,0.530035,0.009637,0.154107,0.189229,0.000280,-0.016135,0.231894,0.313014,0.950858,-0.015208,0.277726,0.280210,0.913322,0.009633,0.154109,0.189229,0.000000,-0.051546,0.224736,0.309489,0.931349,0.017288,0.237882,0.311213,0.917821,-0.002452,0.205210,0.330096,0.933311,,,,,,,-0.016191,0.231709,0.312982,-0.015028,0.277926,0.279991,,,,-0.051731,0.224667,0.309680,0.017342,0.238203,0.311260,-0.002445,0.204944,0.330108
23,0.383333,0.275574,0.001165,0.800325,0.532482,0.009634,0.154210,0.189270,0.000282,-0.016538,0.232461,0.312679,0.950858,-0.015160,0.278200,0.279760,0.913322,0.009631,0.154212,0.189271,0.000000,-0.051962,0.225476,0.308942,0.931349,0.016926,0.238271,0.311079,0.917821,-0.003105,0.205753,0.329920,0.933311,,,,,,,-0.016619,0.232333,0.312671,-0.014984,0.278405,0.279531,,,,-0.052126,0.225396,0.309119,0.016974,0.238561,0.311121,-0.003085,0.205466,0.329936
24,0.400000,0.273866,0.000257,0.797768,0.537181,0.008779,0.154173,0.189223,0.000219,-0.016833,0.233067,0.312339,0.901223,-0.014889,0.278690,0.279289,0.933711,0.008776,0.154174,0.189223,0.000000,-0.052321,0.226452,0.308541,0.934937,0.016695,0.238513,0.310800,0.900021,-0.003727,0.206267,0.329690,0.920217,,,,,,,-0.016933,0.232696,0.312245,-0.014827,0.278811,0.279061,,,,-0.052297,0.226647,0.308711,0.016673,0.238884,0.310947,-0.003691,0.205950,0.329694
25,0.416667,0.270448,-0.002259,0.796472,0.540819,0.008725,0.154251,0.189206,0.000238,-0.017125,0.233569,0.311999,0.901223,-0.014543,0.279118,0.278890,0.933711,0.008722,0.154252,0.189206,0.000000,-0.052639,0.227252,0.307947,0.934937,0.016460,0.238725,0.310701,0.900021,-0.004378,0.206687,0.329491,0.920217,,,,,,,-0.017232,0.233217,0.311914,-0.014473,0.279266,0.278637,,,,-0.052625,0.227425,0.308128,0.016452,0.239091,0.310856,-0.004348,0.206352,0.329494
