Format Version,1.23,Take Name,charlie_nziz_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.51.42.572 PM,Total Frames in Take,271,Total Exported Frames,271,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,0.362099,0.700550,0.344047,-0.509652,0.019218,0.155339,0.186229,0.000260,-0.020142,0.247714,0.295570,0.922047,-0.032853,0.201520,0.325270,0.917972,0.019221,0.155339,0.186232,0.000000,0.014690,0.249860,0.305558,0.895502,-0.051498,0.241132,0.284185,0.908511,-0.024709,0.271486,0.270972,0.951120,,,,-0.020292,0.247442,0.295537,-0.033029,0.201243,0.325280,,,,0.014903,0.250219,0.305575,-0.051366,0.241428,0.284355,-0.024729,0.271379,0.270810
17,0.283333,0.361990,0.700391,0.344397,-0.509712,0.019241,0.155339,0.186233,0.000271,-0.020102,0.247643,0.295641,0.922047,-0.032830,0.201430,0.325305,0.917972,0.019243,0.155340,0.186236,0.000000,0.014729,0.249772,0.305634,0.895502,-0.051460,0.241078,0.284249,0.908511,-0.024661,0.271435,0.271061,0.951120,,,,-0.020268,0.247357,0.295614,-0.033000,0.201143,0.325323,,,,0.014945,0.250135,0.305651,-0.051329,0.241382,0.284416,-0.024673,0.271341,0.270886
18,0.300000,0.361977,0.700019,0.344732,-0.510006,0.019199,0.155354,0.186204,0.000273,-0.020049,0.247569,0.295721,0.917784,-0.032778,0.201333,0.325347,0.917991,0.019202,0.155355,0.186207,0.000000,0.014788,0.249675,0.305696,0.896179,-0.051416,0.241027,0.284339,0.910517,-0.024612,0.271386,0.271165,0.952644,,,,-0.020217,0.247288,0.295692,-0.032944,0.201051,0.325372,,,,0.015009,0.250027,0.305714,-0.051288,0.241324,0.284493,-0.024627,0.271302,0.270996
19,0.316667,0.361767,0.699827,0.345039,-0.510210,0.019211,0.155363,0.186203,0.000275,-0.020023,0.247477,0.295810,0.917784,-0.032750,0.201214,0.325395,0.917991,0.019214,0.155363,0.186206,0.000000,0.014816,0.249573,0.305783,0.896179,-0.051391,0.240947,0.284425,0.910517,-0.024588,0.271317,0.271277,0.952644,,,,-0.020193,0.247176,0.295784,-0.032918,0.200928,0.325425,,,,0.015033,0.249938,0.305792,-0.051260,0.241249,0.284578,-0.024597,0.271237,0.271112
20,0.333333,0.360764,0.699999,0.345121,-0.510629,0.019379,0.155424,0.186216,0.000259,-0.020052,0.247325,0.295931,0.921599,-0.032709,0.201001,0.325451,0.915634,0.019381,0.155425,0.186220,0.000000,0.014779,0.249469,0.305919,0.896124,-0.051405,0.240755,0.284527,0.925468,-0.024650,0.271190,0.271428,0.963519,,,,-0.020214,0.247058,0.295899,-0.032912,0.200733,0.325487,,,,0.015004,0.249818,0.305902,-0.051267,0.240968,0.284684,-0.024649,0.271162,0.271285
21,0.350000,0.359996,0.700126,0.345323,-0.510860,0.019434,0.155465,0.186244,0.000253,-0.020152,0.247195,0.296044,0.921599,-0.032771,0.200823,0.325505,0.915634,0.019437,0.155465,0.186247,0.000000,0.014672,0.249367,0.306052,0.896124,-0.051492,0.240604,0.284618,0.925468,-0.024765,0.271083,0.271566,0.963519,,,,-0.020312,0.246955,0.296004,-0.032977,0.200550,0.325527,,,,0.014895,0.249718,0.306042,-0.051360,0.240811,0.284798,-0.024756,0.271039,0.271415
22,0.366667,0.359740,0.699820,0.345856,-0.511099,0.019227,0.155517,0.186176,0.000266,-0.020329,0.247104,0.296108,0.919540,-0.032956,0.200694,0.325505,0.918593,0.019229,0.155517,0.186179,0.000000,0.014497,0.249253,0.306116,0.899121,-0.051671,0.240536,0.284675,0.908727,-0.024938,0.271027,0.271664,0.952432,,,,-0.020488,0.246828,0.296066,-0.033116,0.200411,0.325528,,,,0.014701,0.249601,0.306140,-0.051542,0.240835,0.284839,-0.024952,0.270939,0.271496
23,0.383333,0.358567,0.700448,0.345387,-0.511381,0.019228,0.155589,0.186133,0.000268,-0.020660,0.247032,0.296065,0.919540,-0.033180,0.200578,0.325439,0.918593,0.019230,0.155589,0.186137,0.000000,0.014152,0.249274,0.306099,0.899121,-0.051976,0.240380,0.284608,0.908727,-0.025318,0.270949,0.271625,0.952432,,,,-0.020820,0.246766,0.296022,-0.033342,0.200293,0.325470,,,,0.014367,0.249621,0.306117,-0.051863,0.240665,0.284759,-0.025324,0.270868,0.271468
24,0.400000,0.357563,0.701296,0.344608,-0.511447,0.019184,0.155626,0.186081,0.000280,-0.021065,0.247021,0.295922,0.921485,-0.033479,0.200549,0.325312,0.914033,0.019186,0.155626,0.186085,0.000000,0.013731,0.249368,0.305985,0.897681,-0.052351,0.240273,0.284440,0.910842,-0.025769,0.270910,0.271463,0.952394,,,,-0.021224,0.246752,0.295886,-0.033643,0.200248,0.325348,,,,0.013944,0.249717,0.306005,-0.052228,0.240571,0.284592,-0.025783,0.270832,0.271290
25,0.416667,0.356503,0.702588,0.343677,-0.511040,0.019211,0.155648,0.186101,0.000260,-0.021534,0.247072,0.295734,0.921485,-0.033863,0.200603,0.325165,0.914033,0.019214,0.155648,0.186104,0.000000,0.013235,0.249541,0.305862,0.897681,-0.052777,0.240212,0.284200,0.910842,-0.026264,0.270913,0.271232,0.952394,,,,-0.021700,0.246790,0.295692,-0.034017,0.200327,0.325193,,,,0.013441,0.249894,0.305875,-0.052668,0.240499,0.284350,-0.026258,0.270831,0.271083
26,0.433333,0.355173,0.703755,0.342766,-0.510972,0.019231,0.155771,0.186070,0.000268,-0.022012,0.247132,0.295568,0.923332,-0.034220,0.200642,0.325016,0.915309,0.019234,0.155771,0.186073,0.000000,0.012732,0.249734,0.305748,0.896328,-0.053212,0.240151,0.283991,0.909822,-0.026789,0.270937,0.271041,0.951358,,,,-0.022164,0.246867,0.295544,-0.034380,0.200345,0.325041,,,,0.012937,0.250094,0.305760,-0.053098,0.240458,0.284142,-0.026795,0.270832,0.270877
27,0.450000,0.353972,0.704438,0.342333,-0.511155,0.019209,0.155895,0.185984,0.000271,-0.022389,0.247112,0.295468,0.923332,-0.034497,0.200581,0.324892,0.915309,0.019212,0.155895,0.185987,0.000000,0.012338,0.249806,0.305682,0.896328,-0.053559,0.240049,0.283860,0.909822,-0.027208,0.270911,0.270943,0.951358,,,,-0.022547,0.246814,0.295432,-0.034661,0.200287,0.324931,,,,0.012538,0.250175,0.305685,-0.053436,0.240354,0.284005,-0.027209,0.270830,0.270792
28,0.466667,0.352765,0.704952,0.342323,-0.511287,0.019220,0.155971,0.185961,0.000276,-0.022703,0.246993,0.295484,0.917072,-0.034744,0.200407,0.324849,0.913929,0.019222,0.155971,0.185964,0.000000,0.012007,0.249752,0.305742,0.892826,-0.053844,0.239873,0.283833,0.910314,-0.027545,0.270804,0.270977,0.954285,,,,-0.022856,0.246700,0.295459,-0.034917,0.200111,0.324880,,,,0.012220,0.250124,0.305748,-0.053720,0.240174,0.283984,-0.027556,0.270721,0.270814
29,0.483333,0.351370,0.705130,0.342806,-0.511679,0.019207,0.156099,0.185912,0.000263,-0.022987,0.246794,0.295603,0.917072,-0.034968,0.200119,0.324851,0.913929,0.019209,0.156099,0.185916,0.000000,0.011708,0.249595,0.305898,0.892826,-0.054104,0.239643,0.283906,0.910314,-0.027851,0.270652,0.271144,0.954285,,,,-0.023148,0.246552,0.295559,-0.035126,0.199826,0.324880,,,,0.011910,0.249941,0.305912,-0.053994,0.239917,0.284065,-0.027842,0.270569,0.270986
30,0.500000,0.350050,0.705093,0.343807,-0.511963,0.019229,0.156196,0.185889,0.000273,-0.023184,0.246521,0.295800,0.894657,-0.035152,0.199747,0.324895,0.921574,0.019232,0.156197,0.185892,0.000000,0.011496,0.249326,0.306145,0.892406,-0.054280,0.239373,0.284046,0.903930,-0.028043,0.270447,0.271407,0.960898,,,,-0.023343,0.246140,0.295718,-0.035305,0.199475,0.324930,,,,0.011681,0.249714,0.306169,-0.054158,0.239697,0.284214,-0.028038,0.270388,0.271263
31,0.516667,0.348765,0.704764,0.344929,-0.512537,0.019229,0.156405,0.185813,0.000288,-0.023316,0.246307,0.296020,0.913859,-0.035261,0.199420,0.324943,0.912668,0.019232,0.156405,0.185816,0.000000,0.011356,0.249104,0.306392,0.895513,-0.054400,0.239175,0.284224,0.909359,-0.028182,0.270314,0.271709,0.955028,,,,-0.023479,0.246006,0.295977,-0.035420,0.199113,0.324990,,,,0.011563,0.249466,0.306410,-0.054277,0.239483,0.284372,-0.028190,0.270252,0.271541
