Format Version,1.23,Take Name,shake_nziz2,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-09 01.45.41.738 PM,Total Frames in Take,583,Total Exported Frames,583,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,-19.633886,4.034269,12.675190,61.042812,173.186508,204.776779,0.188558,25.024038,292.510101,286.307983,0.977710,45.095455,314.710968,255.642532,0.901405,94.110992,301.840790,281.359863,0.980170,57.112743,266.225159,329.968933,0.946916,57.935471,299.687439,284.455902,0.964634,61.033016,173.307037,204.846436,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.199379,159.945404,211.409195,66.462753,73.032204,248.116119,25.042627,292.586853,286.319977,45.057858,314.420074,255.916321,94.190498,301.906891,281.333862,56.990322,266.263428,329.787018,57.997375,299.797546,284.378143
17,0.283333,-19.463648,3.899148,12.781071,61.116047,173.228867,204.719894,0.195590,24.665106,292.207764,286.562195,0.983579,44.729404,314.554199,255.997955,0.898359,93.736084,301.728058,281.754181,0.975187,56.750210,265.868622,330.193115,0.941560,57.561203,299.473846,284.785309,0.960291,61.105839,173.349136,204.789902,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.175133,159.969223,211.379761,66.438919,73.064278,248.093338,24.680378,292.271545,286.565887,44.675602,314.270325,256.283966,93.823120,301.774841,281.744720,56.633743,265.926880,329.998962,57.629162,299.588745,284.699188
18,0.300000,-19.301428,3.790738,12.808079,61.046768,173.254669,204.649780,0.191604,24.334942,291.959686,286.772705,0.978445,44.424934,314.414978,256.305298,0.901326,93.403374,301.567566,282.104584,0.981053,56.377274,265.530029,330.380310,0.940887,57.226063,299.265991,285.070251,0.961472,61.036316,173.374741,204.720108,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.124557,160.008575,211.345078,66.404030,73.125137,248.059723,24.365284,292.038361,286.790680,44.379627,314.121552,256.565369,93.465645,301.609802,282.113525,56.275967,265.582306,330.173157,57.280052,299.386292,284.990479
19,0.316667,-19.152494,3.668450,12.829475,60.972050,173.276962,204.606262,0.201796,23.979507,291.727295,286.970551,0.978445,44.103333,314.283630,256.600281,0.901326,93.046455,301.420105,282.458466,0.981053,55.967236,265.217041,330.569305,0.940887,56.866051,299.072693,285.349579,0.961472,60.961338,173.396820,204.676895,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.300392,160.605103,211.598969,66.366936,73.175140,248.018829,24.030769,291.796509,286.974243,44.038307,313.986908,256.884979,93.134369,301.459930,282.454254,55.847530,265.283691,330.355194,56.911659,299.193695,285.279602
20,0.333333,-18.998020,3.546171,12.846535,60.909489,173.273895,204.600952,0.189673,23.642822,291.463959,287.215179,0.978450,43.802746,314.122314,256.944916,0.895915,92.708755,301.236359,282.862091,0.975848,55.572834,264.866577,330.803192,0.936453,56.525192,298.845825,285.677307,0.963237,60.898525,173.393570,204.671890,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.254753,160.669754,211.545288,66.340141,73.209206,247.988861,23.676064,291.546936,287.233276,43.756630,313.817627,257.214233,92.789131,301.300201,282.846588,55.449928,264.907654,330.608551,56.580605,298.962280,285.599854
21,0.350000,-18.810055,3.438132,12.831644,60.808197,173.300400,204.529221,0.198672,23.343767,291.206573,287.459076,0.979939,43.551834,313.970978,257.300690,0.898626,92.414101,301.018188,283.266968,0.975373,55.202129,264.478638,331.019623,0.937160,56.226231,298.605316,286.006744,0.965586,60.797054,173.419830,204.600525,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.999756,160.160706,211.201828,66.325668,73.245987,247.954346,23.374136,291.280579,287.465454,43.486633,313.679077,257.574463,92.500168,301.066071,283.265076,55.086376,264.546478,330.807068,56.290779,298.707703,285.941162
22,0.366667,-18.620823,3.306613,12.830761,60.799355,173.320587,204.454514,0.184599,23.068865,290.925323,287.691223,0.981382,43.326038,313.803680,257.652283,0.903076,92.141029,300.800323,283.682129,0.981135,54.851673,264.076538,331.232666,0.946592,55.949039,298.352417,286.335052,0.958141,60.787968,173.439789,204.526184,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.985252,160.194183,211.142395,66.317894,73.279816,247.923248,23.092264,290.994171,287.707336,43.290604,313.517242,257.911133,92.189804,300.855499,283.665619,54.737648,264.114990,331.056152,56.026371,298.476257,286.253052
23,0.383333,-18.460087,3.220381,12.800386,60.709633,173.402039,204.346634,0.178301,22.848888,290.776245,287.849091,0.981382,43.154434,313.737396,257.906097,0.903076,91.927574,300.660583,283.977631,0.981135,54.561630,263.805939,331.366486,0.946592,55.731339,298.206268,286.565948,0.958141,60.698135,173.521027,204.418610,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.931290,160.248383,211.085052,66.282280,73.317497,247.887238,22.865421,290.865204,287.858276,43.088528,313.443024,258.152618,92.025764,300.717163,283.978729,54.454437,263.843750,331.182343,55.789665,298.317291,286.493317
24,0.400000,-18.333574,3.160188,12.758820,60.575733,173.472763,204.188614,0.190436,22.654257,290.679260,287.898926,0.977263,43.004631,313.697998,258.030640,0.902612,91.741127,300.547241,284.133514,0.971665,54.304066,263.603333,331.396515,0.945899,55.540890,298.100250,286.672180,0.963771,60.564194,173.591599,204.260849,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.867447,160.307739,211.021255,66.239037,73.366287,247.851791,22.656334,290.768219,287.929871,42.947773,313.388428,258.264069,91.828407,300.595520,284.154633,54.207443,263.649597,331.180328,55.605045,298.226227,286.602753
25,0.416667,-18.345480,3.061087,12.747110,60.585163,173.455872,204.232422,0.189940,22.479877,290.667328,287.852234,0.980308,42.873108,313.686646,258.013702,0.901492,91.569618,300.558746,284.202515,0.977446,54.064911,263.612030,331.409729,0.941308,55.365948,298.099640,286.679993,0.960827,60.573460,173.574722,204.304611,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.808136,160.382523,210.950928,66.190216,73.412361,247.824661,22.498806,290.740814,287.873322,42.822868,313.390839,258.269135,91.640633,300.614044,284.196198,53.949947,263.661835,331.211182,55.441162,298.216919,286.608276
