Format Version,1.23,Take Name,shake_circum2_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-09 01.46.40.182 PM,Total Frames in Take,572,Total Exported Frames,572,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,-26.603762,0.411978,12.182673,57.975105,185.684418,173.900955,0.228243,15.375837,313.230408,237.933304,0.981546,37.028141,331.965698,206.054184,0.904516,84.508423,323.316589,236.060211,0.987453,45.020367,293.090698,286.332214,0.932286,48.241615,320.808105,237.207825,0.964263,57.959404,185.812256,173.954666,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.261070,159.559494,180.200363,69.525368,71.821663,220.842682,,,,15.439083,313.245911,237.922104,36.949661,331.805206,206.378677,84.524467,323.336060,236.052551,44.913452,293.198761,286.093658,48.347729,320.825562,237.140747,,,
17,0.283333,-26.504026,0.412087,12.157183,57.740658,185.659546,173.914459,0.203496,15.179608,313.111053,238.159958,0.987191,36.845669,331.893097,206.317688,0.906428,84.316566,323.172882,236.317993,0.980382,44.806534,292.875427,286.529602,0.933026,48.048534,320.676849,237.454086,0.969522,57.724998,185.787292,173.968384,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.262527,159.538925,180.232162,69.528542,71.814651,220.847076,,,,15.229029,313.117798,238.148239,36.767002,331.737732,206.649002,84.376961,323.208313,236.282578,44.677425,292.974030,286.316559,48.146526,320.691559,237.383072,,,
18,0.300000,-26.449156,0.341625,12.229962,57.803585,185.600266,174.022919,0.222927,14.993478,312.917725,238.368637,0.990167,36.644848,331.767029,206.556137,0.902724,84.114357,323.097839,236.573395,0.984586,44.628662,292.685333,286.734589,0.928151,47.849987,320.539581,237.687683,0.965555,57.787682,185.727936,174.076950,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.257881,159.537262,180.239151,69.528305,71.816010,220.850250,,,,15.032630,312.921448,238.368317,36.573395,331.596313,206.898422,84.165100,323.125458,236.551880,44.505634,292.789886,286.496826,47.954582,320.574249,237.604965,,,
19,0.316667,-26.352312,0.279851,12.268304,57.752453,185.582001,174.048477,0.206523,14.762025,312.744019,238.581070,0.990167,36.414257,331.670502,206.815033,0.902724,83.873062,323.001678,236.849335,0.984586,44.386745,292.461700,286.932526,0.928151,47.610733,320.402496,237.935028,0.965555,57.736374,185.709564,174.102722,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.254616,159.538330,180.236679,69.526070,71.817589,220.850174,,,,14.811574,312.767212,238.581436,36.349049,331.488586,207.132828,83.925491,323.039093,236.821686,44.267685,292.549713,286.701904,47.693043,320.435699,237.875061,,,
20,0.333333,-26.276863,0.198380,12.303553,57.754795,185.575806,174.079117,0.222542,14.549460,312.601685,238.736206,0.986324,36.211090,331.595612,207.016907,0.907015,83.650009,322.943207,237.087311,0.982477,44.149723,292.290497,287.090546,0.931488,47.389717,320.299744,238.133194,0.973222,57.738514,185.703278,174.133514,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.252815,159.539963,180.234924,69.523582,71.822304,220.848312,,,,14.580235,312.603119,238.734451,36.148582,331.429535,207.360336,83.699844,322.969452,237.067947,44.034603,292.398010,286.856293,47.486721,320.330536,238.045120,,,
21,0.350000,-26.227501,0.096779,12.333908,57.782570,185.569885,174.103882,0.214001,14.329594,312.485382,238.811798,0.984880,36.010242,331.533966,207.138275,0.903512,83.419235,322.915314,237.265533,0.983570,43.889858,292.169739,287.188721,0.929614,47.160915,320.225311,238.259964,0.971092,57.766048,185.697281,174.158371,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.254112,159.559097,180.209061,69.520981,71.820465,220.846375,,,,14.389658,312.492371,238.813126,35.947239,331.365601,207.479797,83.471519,322.945282,237.239349,43.767502,292.273224,286.957214,47.233978,320.253113,238.174744,,,
22,0.366667,-26.198479,0.059596,12.361959,57.701393,185.596741,174.074417,0.213066,14.132634,312.447784,238.830734,0.981923,35.811028,331.528198,207.174820,0.904204,83.215240,322.928680,237.315063,0.982407,43.689938,292.129089,287.208130,0.926696,46.958523,320.211823,238.294846,0.977261,57.684765,185.724091,174.128952,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.254799,159.531433,180.236359,69.523026,71.818947,220.851044,,,,14.202744,312.448578,238.813065,35.730000,331.372498,207.515442,83.277176,322.949615,237.289047,43.569813,292.248169,286.968628,47.027618,320.226746,238.237610,,,
23,0.383333,-26.217838,0.004671,12.433834,57.688641,185.598358,174.054413,0.272918,13.903633,312.403595,238.754593,0.981923,35.562149,331.506836,207.098892,0.904204,82.970390,322.990936,237.256531,0.982407,43.477551,292.146973,287.147919,0.926696,46.717621,320.218323,238.226166,0.977261,57.671795,185.725723,174.108902,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.263008,159.546844,180.220245,69.530396,71.808800,220.858582,,,,14.018560,312.419952,238.751984,35.552975,331.350586,207.453461,83.089043,323.013000,237.238037,43.395084,292.259430,286.920593,46.575676,320.223480,238.119934,,,
24,0.400000,-26.259630,-0.014604,12.523778,57.715961,185.594635,174.064697,0.258082,13.758927,312.378723,238.689606,0.970971,35.375275,331.492615,207.011444,0.903104,82.808517,323.072479,237.156662,0.969474,43.383301,292.203522,287.086029,0.933334,46.560497,320.244141,238.142548,0.955658,57.698940,185.722015,174.119095,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.272278,159.518555,180.262878,69.533432,71.804520,220.866409,,,,13.879057,312.390472,238.683929,35.344837,331.348572,207.349945,82.933594,323.090820,237.142471,43.295086,292.313873,286.869873,46.433914,320.247620,238.040054,,,
25,0.416667,-26.299156,-0.040837,12.627103,57.812717,185.587677,174.085709,0.236134,13.650060,312.336243,238.640152,0.974304,35.219315,331.467468,206.940414,0.908813,82.679482,323.154510,237.072998,0.975274,43.329842,292.248413,287.038971,0.934494,46.437046,320.260895,238.074905,0.973959,57.795483,185.715042,174.140030,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.282303,159.506409,180.272583,69.537071,71.798523,220.872360,,,,13.751548,312.350800,238.632889,35.177776,331.326324,207.274170,82.771744,323.182831,237.051346,43.230209,292.358795,286.823242,46.384441,320.248840,237.985809,,,
26,0.433333,-26.343405,-0.048278,12.704986,57.848854,185.559799,174.123978,0.215755,13.555855,312.301819,238.601898,0.985543,35.085274,331.436035,206.876892,0.909839,82.570633,323.206940,236.992783,0.980799,43.284756,292.289307,287.001831,0.928193,46.332424,320.267853,238.014572,0.980736,57.831490,185.687180,174.178207,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.291183,159.503113,180.278824,69.543968,71.796753,220.877289,,,,13.613621,312.302490,238.604446,35.038097,331.294373,207.205170,82.638092,323.235657,236.969910,43.176254,292.408630,286.764160,46.362881,320.260620,237.944168,,,
27,0.450000,-26.366734,-0.058803,12.760333,57.848263,185.556427,174.123260,0.229355,13.452247,312.282745,238.561188,0.985543,34.955166,331.424408,206.822693,0.909839,82.456261,323.252625,236.929382,0.980799,43.212879,292.318176,286.961395,0.928193,46.221111,320.279633,237.961960,0.980736,57.830788,185.683838,174.177444,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.292572,159.511124,180.266998,69.541382,71.800537,220.868546,,,,13.522915,312.279175,238.565964,34.928730,331.278809,207.159531,82.514503,323.269836,236.909637,43.115696,292.435425,286.725250,46.215843,320.294403,237.876282,,,
