Format Version,1.23,Take Name,ear2ear_21_10_2022,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.48.14.646 AM,Total Frames in Take,717,Total Exported Frames,717,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,93.518036,70.411469,-50.067623,-0.483073,110.800087,0.490189,0.322589,-142.431473,164.802521,-5.242843,0.947789,-92.962265,238.215866,5.390210,0.895865,-125.306580,194.448288,-10.036971,0.907987,-125.079155,191.210938,23.482080,0.926935,-120.040199,197.705902,-45.789055,0.845232,-0.359784,110.702202,0.441755,0.000000,-142.457764,164.868881,-5.046576,-92.962433,238.244339,4.974645,-125.314728,194.107986,-10.176916,-125.275909,190.995483,23.498901,-119.808823,198.166870,-45.446693,,,,,,,,,,,,
17,0.141667,93.441582,70.371094,-49.813530,-0.437967,110.845123,0.415315,0.307953,-142.335114,164.976578,-5.368739,0.947789,-92.823235,238.319992,5.544332,0.895865,-125.179886,194.622223,-10.053864,0.907987,-125.003410,191.289429,23.456135,0.926935,-119.859299,197.977249,-45.788906,0.845232,-0.314686,110.747276,0.366780,0.000000,-142.350464,165.033127,-5.182549,-92.818771,238.340866,5.148561,-125.181061,194.298355,-10.195903,-125.202911,191.093521,23.478521,-119.647820,198.419662,-45.459671,,,,,,,,,,,,
18,0.150000,93.292130,70.245323,-49.499210,-0.547707,110.741226,0.407897,0.333359,-142.309952,165.213806,-5.480792,0.939637,-92.648506,238.414948,5.704728,0.894772,-125.078606,194.831726,-10.060642,0.903566,-124.967430,191.412949,23.440968,0.926666,-119.688896,198.265778,-45.777809,0.844283,-0.424567,110.643227,0.359324,0.000000,-142.350739,165.322159,-5.268902,-92.683594,238.431503,5.285609,-125.065521,194.478394,-10.214834,-125.146744,191.181503,23.459005,-119.446907,198.725708,-45.434505,,,,,,,,,,,,
19,0.158333,93.253090,70.200607,-49.334499,-0.532046,110.767235,0.347625,0.325718,-142.243301,165.370041,-5.562008,0.939637,-92.531250,238.506882,5.817642,0.894772,-124.983040,194.982773,-10.065936,0.903566,-124.905777,191.496109,23.428776,0.926666,-119.557350,198.484604,-45.771088,0.844283,-0.408943,110.669228,0.298967,0.000000,-142.285934,165.464294,-5.354181,-92.564903,238.518753,5.406138,-124.967606,194.627731,-10.220714,-125.081985,191.284210,23.446430,-119.320366,198.945251,-45.430260,,,,,,,,,,,,
20,0.166667,93.213768,70.141571,-49.186256,-0.542521,110.750671,0.297192,0.325017,-142.189987,165.516602,-5.632803,0.940461,-92.408485,238.579742,5.915295,0.898394,-124.894127,195.118515,-10.070849,0.904768,-124.848061,191.573257,23.417774,0.927423,-119.435432,198.676849,-45.765362,0.850116,-0.419484,110.652618,0.248464,0.000000,-142.217346,165.625519,-5.422786,-92.439995,238.590790,5.510245,-124.873474,194.769928,-10.223061,-125.036316,191.353195,23.438105,-119.209137,199.125641,-45.438530,,,,,,,,,,,,
21,0.175000,93.110588,70.105156,-48.975571,-0.532091,110.765297,0.295763,0.328160,-142.133728,165.640747,-5.715205,0.940461,-92.314980,238.649567,6.014329,0.898394,-124.811699,195.237762,-10.083209,0.904768,-124.808777,191.636993,23.399529,0.927423,-119.307175,198.851379,-45.765125,0.850116,-0.409063,110.667229,0.247021,0.000000,-142.166367,165.746567,-5.503431,-92.342247,238.669067,5.605345,-124.802345,194.883041,-10.233498,-124.993202,191.413300,23.415434,-119.072380,199.304504,-45.433537,,,,,,,,,,,,
22,0.183333,93.058212,70.080315,-48.811462,-0.492327,110.788048,0.241312,0.310146,-142.061554,165.742950,-5.806514,0.946551,-92.218620,238.706573,6.100249,0.896960,-124.721077,195.339294,-10.105398,0.910701,-124.751740,191.678955,23.370865,0.926298,-119.180862,199.013702,-45.775578,0.850687,-0.369301,110.690010,0.192513,0.000000,-142.083130,165.810669,-5.604878,-92.222130,238.728439,5.688683,-124.727943,195.005692,-10.232862,-124.952682,191.465591,23.402613,-118.948044,199.470993,-45.470001,,,,,,,,,,,,
23,0.191667,92.757896,70.032257,-48.384071,-0.488915,110.764938,0.398797,0.333744,-141.989532,165.867615,-5.905241,0.946551,-92.106148,238.761719,6.255221,0.896960,-124.609795,195.454681,-10.108348,0.910701,-124.727661,191.735168,23.361183,0.926298,-118.976929,199.186829,-45.758038,0.850687,-0.365861,110.666870,0.350131,0.000000,-142.038803,165.923035,-5.694211,-92.128372,238.771866,5.794705,-124.623825,195.112259,-10.251206,-124.915184,191.511749,23.387039,-118.704002,199.687180,-45.391663,,,,,,,,,,,,
24,0.200000,92.714455,69.980476,-48.219635,-0.503466,110.722649,0.340353,0.325451,-141.945786,165.971909,-5.989281,0.945744,-92.004669,238.794861,6.359206,0.887932,-124.534042,195.550568,-10.118735,0.909920,-124.686821,191.766281,23.343399,0.927366,-118.864197,199.346420,-45.755821,0.835894,-0.380460,110.624557,0.291613,0.000000,-141.985031,166.026138,-5.782843,-92.023727,238.801071,5.911380,-124.539131,195.218735,-10.259095,-124.880867,191.551346,23.367104,-118.606911,199.832901,-45.397995,,,,,,,,,,,,
25,0.208333,92.643120,69.937706,-48.052162,-0.501990,110.726677,0.327632,0.321933,-141.894348,166.097534,-6.055541,0.945744,-91.907555,238.862244,6.450460,0.887932,-124.455215,195.668518,-10.123789,0.909920,-124.643326,191.834152,23.332474,0.927366,-118.747917,199.513382,-45.749634,0.835894,-0.379015,110.628563,0.278864,0.000000,-141.922363,166.178680,-5.854890,-91.929840,238.870789,6.019581,-124.453850,195.337341,-10.262330,-124.836533,191.614197,23.358868,-118.505760,199.974884,-45.407326,,,,,,,,,,,,
