Format Version,1.23,Take Name,brenda_ear2ear_007,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.16.53.602 AM,Total Frames in Take,429,Total Exported Frames,429,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
18,0.300000,0.055480,0.923082,0.253546,-0.283826,-0.004014,0.222321,0.126261,0.000404,-0.139640,0.273609,0.158086,0.699796,-0.147154,0.225739,0.186888,0.926669,-0.004014,0.222322,0.126265,0.000000,-0.125364,0.292885,0.185330,0.917914,-0.148933,0.252448,0.133146,0.931079,-0.136615,0.293073,0.129747,0.901380,-0.140082,0.274725,0.158201,-0.146947,0.225569,0.187022,,,,-0.125349,0.292563,0.185404,-0.149014,0.252327,0.132917,-0.136389,0.292758,0.129674
19,0.316667,0.055603,0.923073,0.253515,-0.283858,-0.004028,0.222319,0.126265,0.000404,-0.139640,0.273638,0.158101,0.699231,-0.147160,0.225773,0.186909,0.924108,-0.004028,0.222321,0.126268,0.000000,-0.125356,0.292914,0.185341,0.917519,-0.148941,0.252475,0.133165,0.935292,-0.136615,0.293097,0.129759,0.900495,-0.140082,0.274751,0.158213,-0.146954,0.225596,0.187045,,,,-0.125343,0.292592,0.185411,-0.149017,0.252367,0.132942,-0.136390,0.292778,0.129683
20,0.333333,0.055605,0.922974,0.253439,-0.284245,-0.004027,0.222364,0.126239,0.000399,-0.139626,0.273654,0.158179,0.700065,-0.147113,0.225788,0.186995,0.925480,-0.004028,0.222365,0.126243,0.000000,-0.125326,0.292934,0.185407,0.913538,-0.148942,0.252488,0.133251,0.932395,-0.136628,0.293112,0.129834,0.899959,-0.140074,0.274761,0.158290,-0.146892,0.225637,0.187126,,,,-0.125322,0.292596,0.185478,-0.149034,0.252367,0.133027,-0.136388,0.292800,0.129763
21,0.350000,0.055542,0.922857,0.253710,-0.284395,-0.004007,0.222414,0.126284,0.000404,-0.139598,0.273681,0.158293,0.700810,-0.147075,0.225797,0.187083,0.923116,-0.004007,0.222415,0.126288,0.000000,-0.125290,0.292944,0.185529,0.911860,-0.148920,0.252530,0.133355,0.936298,-0.136608,0.293156,0.129959,0.901495,-0.140038,0.274789,0.158390,-0.146861,0.225633,0.187231,,,,-0.125289,0.292597,0.185591,-0.148998,0.252427,0.133135,-0.136378,0.292844,0.129889
22,0.366667,0.055518,0.922792,0.253825,-0.284508,-0.003992,0.222469,0.126376,0.000401,-0.139578,0.273723,0.158430,0.699252,-0.147047,0.225832,0.187208,0.923230,-0.003993,0.222470,0.126380,0.000000,-0.125265,0.292980,0.185667,0.906976,-0.148905,0.252579,0.133487,0.937724,-0.136595,0.293207,0.130100,0.901742,-0.140021,0.274837,0.158533,-0.146824,0.225680,0.187353,,,,-0.125276,0.292612,0.185722,-0.148990,0.252472,0.133279,-0.136353,0.292907,0.130022
23,0.383333,0.055937,0.922581,0.253903,-0.285040,-0.004000,0.222462,0.126360,0.000397,-0.139515,0.273791,0.158594,0.699252,-0.146974,0.225902,0.187378,0.923230,-0.004001,0.222463,0.126363,0.000000,-0.125155,0.293038,0.185814,0.906976,-0.148886,0.252654,0.133662,0.937724,-0.136558,0.293275,0.130262,0.901742,-0.139983,0.274901,0.158695,-0.146759,0.225725,0.187519,,,,-0.125141,0.292710,0.185882,-0.148969,0.252533,0.133448,-0.136315,0.292980,0.130182
24,0.400000,0.056216,0.922360,0.254090,-0.285534,-0.004009,0.222472,0.126393,0.000387,-0.139466,0.273844,0.158802,0.697851,-0.146911,0.225948,0.187578,0.922005,-0.004010,0.222474,0.126396,0.000000,-0.125067,0.293075,0.186012,0.916111,-0.148874,0.252719,0.133873,0.935230,-0.136534,0.293337,0.130473,0.902381,-0.139957,0.274931,0.158898,-0.146698,0.225772,0.187709,,,,-0.125035,0.292770,0.186096,-0.148954,0.252588,0.133655,-0.136290,0.293041,0.130396
25,0.416667,0.056286,0.922091,0.254510,-0.286016,-0.004015,0.222480,0.126429,0.000392,-0.139431,0.273842,0.159026,0.700729,-0.146853,0.225920,0.187765,0.923541,-0.004016,0.222481,0.126433,0.000000,-0.125001,0.293046,0.186239,0.920458,-0.148868,0.252741,0.134088,0.933311,-0.136525,0.293360,0.130712,0.902273,-0.139937,0.274940,0.159116,-0.146637,0.225748,0.187908,,,,-0.124969,0.292728,0.186319,-0.148944,0.252613,0.133862,-0.136280,0.293069,0.130640
26,0.433333,0.056328,0.921727,0.254940,-0.286796,-0.004021,0.222504,0.126411,0.000406,-0.139385,0.273827,0.159280,0.696745,-0.146759,0.225875,0.187982,0.922075,-0.004021,0.222505,0.126415,0.000000,-0.124912,0.293003,0.186490,0.917666,-0.148862,0.252753,0.134336,0.932462,-0.136526,0.293375,0.130983,0.903136,-0.139835,0.274947,0.159379,-0.146544,0.225692,0.188127,,,,-0.124904,0.292676,0.186563,-0.148954,0.252634,0.134117,-0.136284,0.293077,0.130901
27,0.450000,0.056340,0.921375,0.255548,-0.287383,-0.004027,0.222524,0.126401,0.000399,-0.139345,0.273818,0.159505,0.697880,-0.146690,0.225828,0.188150,0.925569,-0.004027,0.222526,0.126405,0.000000,-0.124836,0.292956,0.186724,0.915539,-0.148855,0.252778,0.134544,0.934138,-0.136518,0.293404,0.131231,0.903239,-0.139796,0.274935,0.159603,-0.146480,0.225663,0.188283,,,,-0.124820,0.292626,0.186795,-0.148934,0.252652,0.134326,-0.136290,0.293099,0.131164
