Format Version,1.23,Take Name,pinkhead_nziz_004,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.14.34.198 AM,Total Frames in Take,337,Total Exported Frames,337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
24,0.400000,-0.263746,-0.025985,-0.785185,-0.559685,0.043382,0.130754,0.209083,0.000159,0.022928,0.218221,0.327274,0.962532,0.025811,0.261540,0.291320,0.954275,0.043378,0.130756,0.209083,0.000000,-0.012835,0.212655,0.324523,0.954509,0.056589,0.222350,0.324809,0.930676,0.035433,0.192132,0.346090,0.934494,,,,0.022940,0.218059,0.327258,0.025833,0.261603,0.291133,,,,-0.012774,0.212811,0.324602,0.056434,0.222563,0.324923,0.035493,0.191863,0.346099
25,0.416667,-0.266705,-0.021549,-0.785260,-0.558365,0.043357,0.130650,0.209123,0.000150,0.022898,0.216821,0.328261,0.959103,0.025806,0.260531,0.292786,0.950503,0.043353,0.130652,0.209123,0.000000,-0.012866,0.211297,0.325439,0.953692,0.056562,0.220966,0.325852,0.928377,0.035388,0.190522,0.346793,0.931081,,,,0.022876,0.216612,0.328241,0.025842,0.260582,0.292615,,,,-0.012824,0.211474,0.325515,0.056413,0.221189,0.325969,0.035481,0.190280,0.346790
26,0.433333,-0.269396,-0.016870,-0.785470,-0.556937,0.043308,0.130659,0.209105,0.000170,0.022736,0.215502,0.329173,0.947240,0.025686,0.259604,0.294189,0.954577,0.043305,0.130661,0.209106,0.000000,-0.013027,0.210015,0.326252,0.950573,0.056402,0.219668,0.326845,0.926912,0.035203,0.188997,0.347424,0.935199,,,,0.022734,0.215322,0.329149,0.025698,0.259676,0.293993,,,,-0.012959,0.210192,0.326332,0.056257,0.219894,0.326969,0.035269,0.188701,0.347440
27,0.450000,-0.272079,-0.012905,-0.785829,-0.555230,0.043224,0.130637,0.209096,0.000164,0.022539,0.214240,0.330011,0.952591,0.025464,0.258697,0.295478,0.950075,0.043221,0.130639,0.209096,0.000000,-0.013217,0.208752,0.327022,0.951651,0.056203,0.218459,0.327737,0.927801,0.035023,0.187562,0.347997,0.929837,,,,0.022549,0.214052,0.329986,0.025483,0.258773,0.295294,,,,-0.013168,0.208924,0.327097,0.056043,0.218667,0.327857,0.035104,0.187293,0.348011
28,0.466667,-0.274250,-0.008558,-0.785999,-0.554004,0.043185,0.130584,0.209131,0.000164,0.022346,0.212990,0.330839,0.947812,0.025335,0.257786,0.296752,0.947017,0.043181,0.130586,0.209131,0.000000,-0.013408,0.207544,0.327742,0.948675,0.056014,0.217221,0.328656,0.929289,0.034795,0.186131,0.348577,0.930273,,,,0.022349,0.212782,0.330819,0.025341,0.257874,0.296559,,,,-0.013344,0.207723,0.327819,0.055875,0.217432,0.328782,0.034862,0.185860,0.348587
29,0.483333,-0.275668,-0.003482,-0.786010,-0.553338,0.043173,0.130537,0.209194,0.000162,0.022064,0.211770,0.331642,0.953947,0.025245,0.256896,0.298011,0.951541,0.043169,0.130539,0.209194,0.000000,-0.013689,0.206417,0.328371,0.950815,0.055746,0.215962,0.329615,0.929747,0.034406,0.184714,0.349155,0.927545,,,,0.022054,0.211587,0.331623,0.025261,0.256967,0.297832,,,,-0.013631,0.206590,0.328446,0.055616,0.216184,0.329728,0.034472,0.184432,0.349166
30,0.500000,-0.277337,0.001466,-0.786044,-0.552464,0.043107,0.130625,0.209122,0.000173,0.021752,0.210644,0.332325,0.952605,0.025090,0.256104,0.299161,0.944113,0.043103,0.130627,0.209123,0.000000,-0.013998,0.205373,0.328898,0.946317,0.055446,0.214812,0.330437,0.925740,0.034009,0.183397,0.349599,0.923974,,,,0.021752,0.210456,0.332308,0.025095,0.256192,0.298955,,,,-0.013925,0.205557,0.328981,0.055297,0.215025,0.330580,0.034080,0.183101,0.349593
31,0.516667,-0.277867,0.005703,-0.786289,-0.551821,0.043145,0.130626,0.209151,0.000164,0.021383,0.209730,0.332872,0.952605,0.024901,0.255437,0.300069,0.944113,0.043141,0.130628,0.209152,0.000000,-0.014358,0.204524,0.329263,0.946317,0.055089,0.213875,0.331150,0.925740,0.033542,0.182339,0.349987,0.923974,,,,0.021376,0.209526,0.332856,0.024918,0.255528,0.299872,,,,-0.014309,0.204700,0.329347,0.054956,0.214091,0.331284,0.033617,0.182061,0.349982
32,0.533333,-0.278572,0.008363,-0.786767,-0.550749,0.043072,0.130659,0.209107,0.000176,0.020991,0.209058,0.333219,0.948734,0.024544,0.254949,0.300677,0.945648,0.043069,0.130661,0.209107,0.000000,-0.014739,0.203846,0.329506,0.949772,0.054697,0.213238,0.331591,0.928324,0.033135,0.181581,0.350207,0.928078,,,,0.020970,0.208816,0.333206,0.024556,0.255049,0.300485,,,,-0.014650,0.204044,0.329580,0.054542,0.213460,0.331709,0.033210,0.181303,0.350220
33,0.550000,-0.278876,0.010519,-0.787593,-0.549376,0.043104,0.130743,0.209057,0.000179,0.020581,0.208545,0.333466,0.939188,0.024125,0.254587,0.301139,0.945766,0.043100,0.130745,0.209058,0.000000,-0.015130,0.203282,0.329644,0.942676,0.054283,0.212794,0.331937,0.926079,0.032735,0.181014,0.350360,0.927892,,,,0.020588,0.208355,0.333436,0.024127,0.254678,0.300936,,,,-0.015054,0.203473,0.329731,0.054125,0.213012,0.332082,0.032807,0.180705,0.350362
