Format Version,1.23,Take Name,charlie_nziz,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.10.33.114 AM,Total Frames in Take,370,Total Exported Frames,370,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,0.471583,0.642873,0.299252,-0.524188,0.038117,0.153859,0.212377,0.000148,0.032737,0.262552,0.313346,0.955705,0.020279,0.222336,0.350830,0.936853,0.038120,0.153859,0.212379,0.000000,0.068830,0.260539,0.316638,0.963819,-0.000809,0.259532,0.308682,0.938570,0.026534,0.283888,0.286938,0.945947,,,,,,,0.032718,0.262662,0.313469,0.020156,0.222141,0.350859,,,,0.068795,0.260642,0.316559,-0.000597,0.259627,0.308758,0.026500,0.283776,0.286788
17,0.283333,0.472372,0.642295,0.297922,-0.524942,0.038123,0.153815,0.212450,0.000126,0.033045,0.262656,0.313275,0.958467,0.020723,0.222492,0.350859,0.941902,0.038126,0.153815,0.212453,0.000000,0.069149,0.260658,0.316451,0.966596,-0.000515,0.259620,0.308726,0.938970,0.026749,0.283951,0.286857,0.952394,,,,,,,0.032976,0.262761,0.313390,0.020720,0.222330,0.350915,,,,0.069077,0.260678,0.316416,-0.000366,0.259723,0.308716,0.026742,0.283886,0.286732
18,0.300000,0.472575,0.642018,0.297883,-0.525121,0.038230,0.153899,0.212373,0.000131,0.033261,0.262735,0.313210,0.957542,0.020949,0.222573,0.350799,0.957085,0.038233,0.153899,0.212376,0.000000,0.069367,0.260723,0.316361,0.979438,-0.000303,0.259712,0.308683,0.954477,0.026955,0.284034,0.286797,0.964740,,,,,,,0.033202,0.262832,0.313338,0.020944,0.222398,0.350846,,,,0.069287,0.260757,0.316328,-0.000156,0.259830,0.308691,0.026952,0.283959,0.286647
19,0.316667,0.473061,0.641534,0.297969,-0.525226,0.038195,0.153987,0.212309,0.000128,0.033433,0.262830,0.313148,0.959014,0.021108,0.222682,0.350749,0.952667,0.038198,0.153987,0.212312,0.000000,0.069539,0.260778,0.316269,0.978568,-0.000139,0.259844,0.308651,0.951741,0.027128,0.284136,0.286741,0.955350,,,,,,,0.033357,0.262925,0.313258,0.021117,0.222499,0.350796,,,,0.069461,0.260812,0.316254,-0.000000,0.259977,0.308670,0.027134,0.284056,0.286581
20,0.333333,0.473422,0.641525,0.298199,-0.524780,0.038289,0.154029,0.212299,0.000138,0.033576,0.262927,0.313081,0.954864,0.021191,0.222810,0.350695,0.948838,0.038292,0.154029,0.212302,0.000000,0.069678,0.260842,0.316222,0.976308,0.000004,0.259971,0.308566,0.948014,0.027307,0.284226,0.286659,0.952186,,,,,,,0.033501,0.263038,0.313202,0.021193,0.222611,0.350741,,,,0.069598,0.260886,0.316198,0.000152,0.260117,0.308584,0.027314,0.284124,0.286497
21,0.350000,0.473842,0.641238,0.298655,-0.524493,0.038243,0.154175,0.212221,0.000145,0.033664,0.263075,0.313007,0.954112,0.021211,0.222975,0.350616,0.945292,0.038246,0.154175,0.212224,0.000000,0.069762,0.260937,0.316157,0.975491,0.000089,0.260169,0.308483,0.944817,0.027433,0.284384,0.286584,0.950209,,,,,,,0.033581,0.263183,0.313129,0.021211,0.222762,0.350667,,,,0.069688,0.260994,0.316129,0.000237,0.260332,0.308499,0.027443,0.284269,0.286422
22,0.366667,0.474223,0.641435,0.298918,-0.523757,0.038291,0.154240,0.212227,0.000139,0.033705,0.263233,0.312912,0.963286,0.021167,0.223179,0.350541,0.949514,0.038294,0.154240,0.212230,0.000000,0.069797,0.261061,0.316106,0.973807,0.000132,0.260357,0.308351,0.948091,0.027526,0.284526,0.286463,0.953341,,,,,,,0.033653,0.263314,0.313023,0.021160,0.222983,0.350588,,,,0.069718,0.261125,0.316082,0.000268,0.260513,0.308374,0.027530,0.284423,0.286308
23,0.383333,0.474310,0.641246,0.299380,-0.523646,0.038238,0.154386,0.212110,0.000141,0.033710,0.263332,0.312849,0.963286,0.021126,0.223269,0.350454,0.949514,0.038241,0.154387,0.212113,0.000000,0.069799,0.261128,0.316055,0.973807,0.000136,0.260486,0.308276,0.948091,0.027558,0.284643,0.286409,0.953341,,,,,,,0.033658,0.263414,0.312957,0.021117,0.223074,0.350509,,,,0.069726,0.261179,0.316034,0.000284,0.260634,0.308290,0.027546,0.284556,0.286254
24,0.400000,0.474186,0.641209,0.300011,-0.523442,0.038243,0.154505,0.212013,0.000132,0.033697,0.263377,0.312831,0.963644,0.021053,0.223293,0.350394,0.949436,0.038246,0.154506,0.212015,0.000000,0.069782,0.261146,0.316067,0.977014,0.000125,0.260557,0.308226,0.947630,0.027583,0.284712,0.286402,0.955306,,,,,,,0.033629,0.263477,0.312952,0.021047,0.223106,0.350437,,,,0.069712,0.261189,0.316042,0.000275,0.260693,0.308240,0.027577,0.284619,0.286247
25,0.416667,0.474068,0.641227,0.300853,-0.523044,0.038260,0.154614,0.211953,0.000136,0.033676,0.263407,0.312853,0.957098,0.020941,0.223305,0.350366,0.952093,0.038263,0.154614,0.211956,0.000000,0.069754,0.261140,0.316138,0.978660,0.000108,0.260623,0.308199,0.949272,0.027619,0.284770,0.286433,0.954885,,,,,,,0.033605,0.263498,0.312975,0.020936,0.223117,0.350415,,,,0.069680,0.261180,0.316116,0.000265,0.260757,0.308216,0.027613,0.284693,0.286269
