Format Version,1.23,Take Name,pinkhead_ear2ear_006,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.15.01.001 AM,Total Frames in Take,410,Total Exported Frames,410,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,-0.120670,-0.428891,0.885989,0.128510,-0.031819,0.107937,0.133097,0.001477,-0.178081,0.084343,0.142503,0.000000,-0.183742,0.140361,0.139773,0.936380,-0.031821,0.107937,0.133094,0.000000,-0.178830,0.078146,0.106745,0.526988,-0.173146,0.092934,0.175030,0.732233,-0.170123,0.054267,0.157441,0.687553,-0.123326,0.270418,0.197251,,,,,,,,,,,,,,,,,,,,,,-0.178897,0.078681,0.106760,-0.173271,0.092634,0.173555,-0.169888,0.053774,0.158990
17,0.283333,-0.120943,-0.428539,0.886153,0.128294,-0.031862,0.108044,0.133047,0.001475,-0.178127,0.084443,0.142395,0.000000,-0.183792,0.140458,0.139612,0.000000,-0.031864,0.108044,0.133044,0.000000,-0.178856,0.078214,0.106642,0.865174,-0.173210,0.093063,0.174917,0.622371,-0.170174,0.054381,0.157364,0.589284,-0.123410,0.270411,0.197147,,,,,,,,,,,,,,,,,,,,,,-0.178924,0.078750,0.106657,-0.173335,0.092763,0.173444,-0.169939,0.053889,0.158912
18,0.300000,-0.120992,-0.428251,0.886334,0.127958,-0.031906,0.108212,0.132985,0.001484,-0.178161,0.084541,0.142313,0.000000,-0.183855,0.140551,0.139487,0.000000,-0.031908,0.108213,0.132982,0.000000,-0.178878,0.078285,0.106565,0.865079,-0.173257,0.093188,0.174830,0.622984,-0.170196,0.054494,0.157307,0.589706,-0.123444,0.270410,0.197096,,,,,,,,,,,,,,,,,,,,,,-0.178946,0.078818,0.106573,-0.173379,0.092874,0.173362,-0.169963,0.054020,0.158864
19,0.316667,-0.120830,-0.427860,0.886692,0.126935,-0.031992,0.108616,0.132952,0.001492,-0.178205,0.084671,0.142250,0.000000,-0.184007,0.140667,0.139354,0.000000,-0.031994,0.108617,0.132949,0.000000,-0.178895,0.078370,0.106510,0.865959,-0.173330,0.093367,0.174759,0.622484,-0.170187,0.054658,0.157284,0.592259,-0.123478,0.270408,0.197054,0.290066,0.486476,0.358826,,,,,,,,,,,,,,,,,,,-0.178964,0.078902,0.106511,-0.173448,0.093032,0.173292,-0.169957,0.054211,0.158836
20,0.333333,-0.122134,-0.428622,0.885979,0.128091,-0.031981,0.108207,0.133134,0.001502,-0.178284,0.084707,0.142140,0.000000,-0.183904,0.140726,0.139341,0.000000,-0.031983,0.108208,0.133131,0.000000,-0.178933,0.078477,0.106386,0.865306,-0.173437,0.093326,0.174673,0.607667,-0.170386,0.054640,0.157129,0.603135,-0.123490,0.270445,0.197007,,,,,,,,,,,,,,,,,,,,,,-0.179000,0.079011,0.106402,-0.173560,0.092990,0.173145,-0.170166,0.054190,0.158635
21,0.350000,-0.123358,-0.427944,0.885905,0.129689,-0.031917,0.107795,0.133021,0.001409,-0.178320,0.084899,0.141957,0.000000,-0.183710,0.140938,0.139095,0.000000,-0.031919,0.107795,0.133018,0.000000,-0.178971,0.078634,0.106209,0.860767,-0.173459,0.093533,0.174484,0.621502,-0.170554,0.054817,0.156983,0.613338,-0.123573,0.270448,0.196862,0.290078,0.486538,0.358717,,,,,,,,,,,,,,,,,,,-0.179034,0.079185,0.106261,-0.173588,0.093284,0.172997,-0.170333,0.054276,0.158415
22,0.366667,-0.123322,-0.428828,0.885750,0.127849,-0.032008,0.108680,0.133205,0.001522,-0.178346,0.085266,0.141851,0.000000,-0.183926,0.141289,0.139050,0.000000,-0.032010,0.108681,0.133201,0.000000,-0.178913,0.079043,0.106095,0.865801,-0.173573,0.093875,0.174398,0.591989,-0.170503,0.055192,0.156854,0.601810,-0.123627,0.270484,0.196737,,,,,,,,,,,,,,,,,,,,,,-0.178978,0.079575,0.106122,-0.173701,0.093551,0.172804,-0.170284,0.054718,0.158359
23,0.383333,-0.123077,-0.427806,0.886477,0.126464,-0.032139,0.109273,0.133060,0.001555,-0.178419,0.085503,0.141724,0.000000,-0.184143,0.141503,0.138770,0.000000,-0.032141,0.109274,0.133056,0.000000,-0.178958,0.079181,0.105984,0.865801,-0.173678,0.094213,0.174249,0.591989,-0.170502,0.055489,0.156811,0.601810,-0.123685,0.270497,0.196612,0.290106,0.486727,0.358444,,,,,,,,,,,,,,,,,,,-0.179026,0.079708,0.105990,-0.173797,0.093823,0.172654,-0.170291,0.055089,0.158315
24,0.400000,-0.125000,-0.426199,0.886643,0.128818,-0.032095,0.108341,0.132777,0.001415,-0.178527,0.085498,0.141370,0.000000,-0.183903,0.141524,0.138248,0.000000,-0.032097,0.108341,0.132773,0.000000,-0.179072,0.079077,0.105648,0.867210,-0.173764,0.094273,0.173874,0.588507,-0.170810,0.055481,0.156551,0.607389,-0.123783,0.270496,0.196501,0.290110,0.486761,0.358397,,,,,,,,,,,,,,,,,,,-0.179140,0.079613,0.105627,-0.173866,0.093973,0.172553,-0.170587,0.055013,0.158121
25,0.416667,-0.125184,-0.426341,0.886553,0.128786,-0.032123,0.108434,0.132762,0.001433,-0.178560,0.085602,0.141289,0.000000,-0.183929,0.141629,0.138180,0.000000,-0.032125,0.108434,0.132759,0.000000,-0.179090,0.079190,0.105566,0.864856,-0.173809,0.094368,0.173798,0.660329,-0.170852,0.055580,0.156465,0.586691,-0.123819,0.270503,0.196453,0.290108,0.486781,0.358367,,,,,,,,,,,,,,,,,,,-0.179158,0.079725,0.105552,-0.173914,0.094065,0.172442,-0.170629,0.055107,0.158041
